molecule_zinc_id,molecule_chembl_id,smiles_clean,pKi_mean_value,pKi_last_value,pKi_first_value,target_organism
ZINC000005891509,CHEMBL16403,Cc1c(CNc2ccc3ccc4cccc5ccc2c3c45)cnc2nc(N)nc(N)c12,8.42,8.42,8.42,Homo sapiens
ZINC000005891512,CHEMBL16403,Cc1c(CNc2ccc3ccccc3c2)cnc2nc(N)nc(N)c12,8.0,8.0,8.0,Homo sapiens
ZINC000005891514,CHEMBL16403,Cc1c(CNc2cccc3c2CCCC3)cnc2nc(N)nc(N)c12,6.85,6.85,6.85,Homo sapiens
ZINC000005891520,CHEMBL16403,Cc1c(CNc2cccc3cnccc23)cnc2nc(N)nc(N)c12,8.4,8.4,8.4,Homo sapiens
ZINC000005891525,CHEMBL16403,Cc1c(CNc2ccccc2OC(F)F)cnc2nc(N)nc(N)c12,6.56,6.56,6.56,Homo sapiens
ZINC000005891531,CHEMBL16403,COc1cc(SCc2cnc3nc(N)nc(N)c3c2C)cc(OC)c1OC,5.92,5.92,5.92,Homo sapiens
ZINC000005891535,CHEMBL16403,COc1ccc(OC)c(SCc2cnc3nc(N)nc(N)c3c2C)c1,5.6,5.6,5.6,Homo sapiens
ZINC000005891537,CHEMBL16403,Cc1c(CSc2cccc3ccccc23)cnc2nc(N)nc(N)c12,6.36,6.36,6.36,Homo sapiens
ZINC000005891944,CHEMBL16403,Cc1cc(C)c(NCc2cnc3nc(N)nc(N)c3c2C)c(Cl)c1,6.07,6.07,6.07,Homo sapiens
ZINC000005891984,CHEMBL16403,COc1cc(Cl)c(C)cc1NCc1cnc2nc(N)nc(N)c2c1C,8.0,8.0,8.0,Homo sapiens
ZINC000005891990,CHEMBL16403,Cc1cc(NCc2cnc3nc(N)nc(N)c3c2C)c(Cl)cc1F,7.48,7.48,7.48,Homo sapiens
ZINC000005892151,CHEMBL16403,Cc1cc(Br)cc(C)c1NCc1cnc2nc(N)nc(N)c2c1C,5.72,5.72,5.72,Homo sapiens
ZINC000005892172,CHEMBL16403,Cc1cc(NCc2cnc3nc(N)nc(N)c3c2C)ccc1Br,8.21,8.21,8.21,Homo sapiens
ZINC000005892189,CHEMBL16403,Cc1cc(Br)ccc1NCc1cnc2nc(N)nc(N)c2c1C,8.23,8.23,8.23,Homo sapiens
ZINC000005892192,CHEMBL16403,Cc1cc(Cl)ccc1NCc1cnc2nc(N)nc(N)c2c1C,8.55,8.55,8.55,Homo sapiens
ZINC000005892288,CHEMBL13799,Cc1cc2c3c(N)nc(N)nc3ccc2n1C(C)C,8.19,8.19,8.19,Homo sapiens
ZINC000005892292,CHEMBL13799,Cc1cc2c3c(N)nc(N)nc3ccc2n1C,7.06,7.06,7.06,Homo sapiens
ZINC000005892322,CHEMBL16403,Cc1ccc(Cl)c(NCc2cnc3nc(N)nc(N)c3c2C)c1,7.36,7.36,7.36,Homo sapiens
ZINC000005892325,CHEMBL16403,Cc1ccc(F)c(NCc2cnc3nc(N)nc(N)c3c2C)c1,6.6,6.6,6.6,Homo sapiens
ZINC000005892532,CHEMBL16403,Cc1ccc(NCc2cnc3nc(N)nc(N)c3c2C)cc1Br,8.43,8.43,8.43,Homo sapiens
ZINC000005892552,CHEMBL16403,Cc1ccc(NCc2cnc3nc(N)nc(N)c3c2C)cc1Cl,8.17,8.17,8.17,Homo sapiens
ZINC000005892562,CHEMBL16403,Cc1ccc(Cl)cc1NCc1cnc2nc(N)nc(N)c2c1C,8.21,8.21,8.21,Homo sapiens
ZINC000005892563,CHEMBL16403,Cc1ccc(F)cc1NCc1cnc2nc(N)nc(N)c2c1C,7.72,7.72,7.72,Homo sapiens
ZINC000005893315,CHEMBL13799,Cn1ccc2c3c(N)nc(N)nc3ccc21,6.64,6.64,6.64,Homo sapiens
ZINC000005933621,CHEMBL13052,Nc1ccc(Sc2cccc3nc(N)nc(N)c23)cc1,6.49,6.49,6.49,Homo sapiens
ZINC000005973982,CHEMBL91452,Nc1nc(N)c2cc(CNc3cc(Cl)ccc3Cl)cnc2n1,7.61,7.61,7.61,Homo sapiens
ZINC000005974038,CHEMBL13052,Nc1nc(N)c2c(Sc3cccc(Cl)c3)cccc2n1,6.57,6.57,6.57,Homo sapiens
ZINC000005974267,CHEMBL13052,Nc1nc(N)c2c(Sc3ccc(Br)cc3)cccc2n1,5.51,5.51,5.51,Homo sapiens
ZINC000005974270,CHEMBL13052,Nc1nc(N)c2c(Sc3ccc(C(F)(F)F)cc3)cccc2n1,5.59,5.59,5.59,Homo sapiens
ZINC000005974272,CHEMBL13052,Nc1nc(N)c2c(Sc3ccc(F)cc3)cccc2n1,5.7,5.7,5.7,Homo sapiens
ZINC000005974273,CHEMBL13052,Nc1nc(N)c2c(Sc3ccc(O)cc3)cccc2n1,6.74,6.74,6.74,Homo sapiens
ZINC000005974378,CHEMBL13052,Nc1nc(N)c2c(Sc3ccccc3Cl)cccc2n1,7.04,7.04,7.04,Homo sapiens
ZINC000005974460,CHEMBL13250,Nc1nc(N)c2c(/C=C/c3ccccc3)cccc2n1,8.504999999999999,8.27,8.74,Homo sapiens
ZINC000005974538,CHEMBL13858,Nc1nc(N)c2cc(NCc3ccccc3)cnc2n1,5.21,5.21,5.21,Homo sapiens
ZINC000005974540,CHEMBL14570,Nc1nc(N)c2cc(NCc3ccccc3)ccc2n1,5.62,5.62,5.62,Homo sapiens
ZINC000005974663,CHEMBL13052,Nc1nc(N)c2c(Sc3ccccc3)cccc2n1,6.21,6.21,6.21,Homo sapiens
ZINC000006627681,CHEMBL15190,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,6.350526315789473,6.05,8.0,Homo sapiens
ZINC000008655373,CHEMBL38127,C#CCN(Cc1ccc2[nH]c(N)nc(=O)c2c1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,5.8275,6.04,5.72,Homo sapiens
ZINC000008655374,CHEMBL35353,C#CCN(Cc1ccc2[nH]c(N)nc(=O)c2c1)c1ccc(C(=O)N[C@H](CCC(=O)O)C(=O)O)cc1,5.863333333333333,6.04,5.72,Homo sapiens
ZINC000008657832,CHEMBL13052,CC(C)(C)c1ccc(Sc2cccc3nc(N)nc(N)c23)cc1,5.7,5.7,5.7,Homo sapiens
ZINC000009212427,CHEMBL12397,Nc1nc2c(c(=O)[nH]1)N(C=O)[C@@H](CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)CN2,5.63,5.63,5.63,Homo sapiens
ZINC000009212428,CHEMBL12397,Nc1nc2c(c(=O)[nH]1)N(C=O)[C@H](CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)CN2,5.63,5.63,5.63,Homo sapiens
ZINC000009633571,CHEMBL10044,Nc1nc(=O)c2cc(CSc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)ccc2[nH]1,6.48,6.48,6.48,Homo sapiens
ZINC000012503486,CHEMBL16403,Cc1c(CNc2cccc3ncccc23)cnc2nc(N)nc(N)c12,8.37,8.37,8.37,Homo sapiens
ZINC000013216445,CHEMBL16403,COc1cc(OC)cc(N(C)Cc2cnc3nc(N)nc(N)c3c2C)c1,8.06,8.06,8.06,Homo sapiens
ZINC000013451118,CHEMBL10044,C#CCN(Cc1ccc2ncnc(O)c2c1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,5.15,5.15,5.15,Homo sapiens
ZINC000013454607,CHEMBL11764,Nc1nc(O)c2cc(CNc3ccc(C(=O)N[C@@H](CCS(=O)(=O)O)C(=O)O)cc3)cnc2n1,6.4,6.4,6.4,Homo sapiens
ZINC000013454616,CHEMBL11764,Nc1nc(O)c2cc(CNc3ccc(C(=O)N[C@@H](CCP(=O)(O)O)C(=O)O)cc3)cnc2n1,5.33,5.33,5.33,Homo sapiens
ZINC000013454619,CHEMBL11764,Nc1nc(O)c2cc(CNc3ccc(C(=O)N[C@H](CCP(=O)(O)O)C(=O)O)cc3)cnc2n1,5.33,5.33,5.33,Homo sapiens
ZINC000013454634,CHEMBL11764,CCO[P@](=O)(O)CC[C@@H](NC(=O)c1ccc(NCc2cnc3nc(N)nc(O)c3c2)cc1)C(=O)O,5.89,5.89,5.89,Homo sapiens
ZINC000013454641,CHEMBL11764,CCO[P@](=O)(O)CC[C@H](NC(=O)c1ccc(NCc2cnc3nc(N)nc(O)c3c2)cc1)C(=O)O,5.89,5.89,5.89,Homo sapiens
ZINC000013454660,CHEMBL10991,NCCC[C@@H](NC(=O)c1ccc(NCc2ccc3nc(N)nc(N)c3n2)cc1)C(=O)O,7.8,7.8,7.8,Homo sapiens
ZINC000013454663,CHEMBL10991,NCCC[C@H](NC(=O)c1ccc(NCc2ccc3nc(N)nc(N)c3n2)cc1)C(=O)O,7.8,7.8,7.8,Homo sapiens
ZINC000013454666,CHEMBL11249,NCCC[C@H](NC(=O)c1ccc(NC[C@@H]2CNc3nc(N)[nH]c(=O)c3C2)cc1)C(=O)O,5.7,5.7,5.7,Homo sapiens
ZINC000013454669,CHEMBL11249,NCCC[C@H](NC(=O)c1ccc(NC[C@H]2CNc3nc(N)[nH]c(=O)c3C2)cc1)C(=O)O,5.7,5.7,5.7,Homo sapiens
ZINC000013473303,CHEMBL15564,C[C@@H](Cc1coc2nc(N)nc(N)c12)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,6.38,6.38,6.38,Homo sapiens
ZINC000013473304,CHEMBL15564,C[C@H](Cc1coc2nc(N)nc(N)c12)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,6.38,6.38,6.38,Homo sapiens
ZINC000013477123,CHEMBL31880,O=C1OC(c2ccc(O)c(Cl)c2)(c2ccc(O)c(Cl)c2)c2cccc3cccc1c23,5.28,5.28,5.28,Homo sapiens
ZINC000013477126,CHEMBL31880,O=C1O[C@@](c2ccc(O)cc2)(c2ccc(O)c(Br)c2)c2cccc3cccc1c23,5.47,5.47,5.47,Homo sapiens
ZINC000013477128,CHEMBL31880,O=C1O[C@](c2ccc(O)cc2)(c2ccc(O)c(Br)c2)c2cccc3cccc1c23,5.47,5.47,5.47,Homo sapiens
ZINC000013492104,CHEMBL16743,Nc1nc(N)c2cc3c(nc2n1)CCN(Cc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)C3,5.27,5.27,5.27,Homo sapiens
ZINC000013492108,CHEMBL16743,Nc1nc(N)c2cc3c(nc2n1)CCN(Cc1ccc(Cl)cc1Cl)C3,5.89,5.89,5.89,Homo sapiens
ZINC000013515262,CHEMBL9629,Nc1nc2ccc(CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)cc2c(=O)[nH]1,7.47,7.47,7.47,Homo sapiens
ZINC000013520499,CHEMBL17019,COc1cc2c(cc1OC)CN(Cc1cnc(N)nc1N)CC2,7.34,6.68,8.0,Homo sapiens
ZINC000013520504,CHEMBL17019,Nc1ncc(CN2CCc3ccccc3C2)c(N)n1,5.609999999999999,5.26,5.96,Homo sapiens
ZINC000013520508,CHEMBL17019,COc1cc2c(cc1OC)[C@H](C)N(Cc1cnc(N)nc1N)CC2,6.936666666666667,6.17,7.36,Homo sapiens
ZINC000013520512,CHEMBL17019,COc1cc2c(cc1OC)[C@@H](C)N(Cc1cnc(N)nc1N)CC2,6.936666666666667,6.17,7.36,Homo sapiens
ZINC000013520516,CHEMBL17019,COc1cc2c(cc1OC)[C@H](c1ccc(Cl)cc1Cl)CN(Cc1cnc(N)nc1N)C2,7.1433333333333335,8.15,5.77,Homo sapiens
ZINC000013520520,CHEMBL17019,COc1cc2c(cc1OC)[C@@H](c1ccc(Cl)cc1Cl)CN(Cc1cnc(N)nc1N)C2,7.1433333333333335,8.15,5.77,Homo sapiens
ZINC000013520523,CHEMBL17019,COc1cc2c(c3c1OCO3)[C@H](C)N(Cc1cnc(N)nc1N)CC2,7.148333333333333,7.62,7.68,Homo sapiens
ZINC000013520528,CHEMBL17019,COc1ccc2c(c1)CN(Cc1cnc(N)nc1N)C[C@@H]2c1cccc([N+](=O)[O-])c1,7.735,8.22,7.25,Homo sapiens
ZINC000013520533,CHEMBL17019,COc1ccc2c(c1)CN(Cc1cnc(N)nc1N)C[C@H]2c1cccc([N+](=O)[O-])c1,7.735,8.22,7.25,Homo sapiens
ZINC000013520537,CHEMBL17019,C[C@H]1c2cc(Cc3ccccc3)c(-c3ccccc3)n2CCN1Cc1cnc(N)nc1N,6.305,6.26,6.35,Homo sapiens
ZINC000013520544,CHEMBL17019,C[C@@H]1c2cc(Cc3ccccc3)c(-c3ccccc3)n2CCN1Cc1cnc(N)nc1N,6.305,6.26,6.35,Homo sapiens
ZINC000013520550,CHEMBL17019,CSc1c2n(c3cc(Cl)ccc13)CCN(Cc1cnc(N)nc1N)C2,7.163333333333333,5.28,8.7,Homo sapiens
ZINC000013520554,CHEMBL17019,Nc1ncc(CN2CCc3c([nH]c4ccccc34)C2)c(N)n1,7.865,7.33,8.4,Homo sapiens
ZINC000013520560,CHEMBL17019,C[C@H]1c2ccc3c4ccccc4n(C)c3c2CCN1Cc1cnc(N)nc1N,7.823333333333333,7.07,8.0,Homo sapiens
ZINC000013520564,CHEMBL17019,C[C@@H]1c2ccc3c4ccccc4n(C)c3c2CCN1Cc1cnc(N)nc1N,7.823333333333333,7.07,8.0,Homo sapiens
ZINC000013525040,CHEMBL15662,Nc1nc(N)c2nc(COC(=O)c3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)cnc2n1,5.51,5.51,5.51,Homo sapiens
ZINC000013525138,CHEMBL10991,NCCC[C@H](NC(=O)c1ccc(NCc2cnc3nc(N)nc(N)c3n2)cc1)C(=O)O,7.14,7.14,7.14,Homo sapiens
ZINC000013532872,CHEMBL15190,Nc1ncc(Cc2cccc(OCc3ccccc3)c2)c(N)n1,6.9625,7.19,6.0,Homo sapiens
ZINC000013536239,CHEMBL10991,NCCC[C@H](NC(=O)c1ccc(NCc2ccc3nc(N)[nH]c(=O)c3c2)cc1)C(=O)O,6.12,6.12,6.12,Homo sapiens
ZINC000013586662,CHEMBL30626,Cc1[nH]c2nc(N)[nH]c(=O)c2c1Sc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,5.676,5.66,5.68,Homo sapiens
ZINC000013586663,CHEMBL35323,Cc1[nH]c2nc(N)[nH]c(=O)c2c1Sc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)c(F)c1,5.68,5.68,5.68,Homo sapiens
ZINC000013586782,CHEMBL21405,Nc1nc(N)c2c(CCCc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)coc2n1,5.05,5.05,5.05,Homo sapiens
ZINC000013586819,CHEMBL35339,Nc1nc(N)c2nc(CNc3ccc4c(c3)CN([C@@H](CCC(=O)O)C(=O)O)C4=O)cnc2n1,10.29,10.47,10.11,Homo sapiens
ZINC000013586820,CHEMBL35339,Nc1nc(N)c2nc(CNc3ccc4c(c3)CN([C@H](CCC(=O)O)C(=O)O)C4=O)cnc2n1,10.11,10.11,10.11,Homo sapiens
ZINC000013586821,CHEMBL35339,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc2c(c1)CN([C@@H](CCC(=O)O)C(=O)O)C2=O,8.68,8.68,8.68,Homo sapiens
ZINC000013603570,CHEMBL15564,Nc1nc(N)c2c(CNCc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)coc2n1,5.0,5.0,5.0,Homo sapiens
ZINC000013603572,CHEMBL49957,Nc1nc(N)c2c(CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)coc2n1,6.412000000000001,6.35,6.66,Homo sapiens
ZINC000013604299,CHEMBL13438,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCCN)C(=O)O)cc1,8.133333333333333,8.6,9.0,Homo sapiens
ZINC000013604301,CHEMBL13438,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CC(F)(F)CN)C(=O)O)cc1,8.89,8.89,8.89,Homo sapiens
ZINC000013604303,CHEMBL13438,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@H](CC(F)(F)CN)C(=O)O)cc1,8.89,8.89,8.89,Homo sapiens
ZINC000013649856,CHEMBL10991,NCCC[C@H](NC(=O)c1ccc(NCc2cnc3nc(N)[nH]c(=O)c3c2)cc1)C(=O)O,5.07,5.07,5.07,Homo sapiens
ZINC000013649860,CHEMBL10991,NCCC[C@H](NC(=O)c1ccc(NCc2ccc3nc(N)nc(N)c3c2)cc1)C(=O)O,7.46,7.46,7.46,Homo sapiens
ZINC000013649862,CHEMBL10991,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCCNCC(=O)O)C(=O)O)cc1,7.3,7.3,7.3,Homo sapiens
ZINC000013675638,CHEMBL35353,Cc1c(Sc2ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc2)[nH]c2nc(N)nc(N)c12,6.68,6.68,6.68,Homo sapiens
ZINC000013680746,CHEMBL30626,CCc1[nH]c2nc(N)[nH]c(=O)c2c1Sc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,6.38,6.38,6.38,Homo sapiens
ZINC000013685933,CHEMBL31336,CCc1nc(N)nc(N)c1-c1ccc(NCc2ccc(S(C)(=O)=O)cc2)cc1,8.0,8.0,8.0,Homo sapiens
ZINC000013685975,CHEMBL31336,Nc1nc(N)c(-c2ccc(NCc3ccc(Cl)cc3)cc2)c(COCc2ccccc2)n1,6.52,6.52,6.52,Homo sapiens
ZINC000013726702,CHEMBL15190,Nc1ncc(Cc2cccc(O)c2)c(N)n1,5.866666666666667,6.0,5.48,Homo sapiens
ZINC000013726735,CHEMBL15190,CCCCOc1cccc(Cc2cnc(N)nc2N)c1,6.9875,6.03,6.82,Homo sapiens
ZINC000013726744,CHEMBL15190,CCCCCCOc1cccc(Cc2cnc(N)nc2N)c1,6.68,8.01,6.77,Homo sapiens
ZINC000013726792,CHEMBL9190,CCc1cc(Cc2cnc(N)nc2N)cc(CC)c1CC,6.64,6.64,6.64,Homo sapiens
ZINC000013728870,CHEMBL10151,NCCC[C@H](NC(=O)c1ccc(NCc2ccc3nc(N)[nH]c(=O)c3c2Cl)cc1)C(=O)O,6.37,6.37,6.37,Homo sapiens
ZINC000013740533,CHEMBL13250,Nc1nc(N)c2c(C#Cc3ccccc3)cccc2n1,7.02,7.02,7.02,Homo sapiens
ZINC000013740535,CHEMBL13250,Nc1nc(N)c2c(CCc3ccccc3)cccc2n1,8.09,7.64,8.54,Homo sapiens
ZINC000013740536,CHEMBL13250,COc1ccc(OC)c(NCc2cccc3nc(N)nc(N)c23)c1,7.09,7.48,6.7,Homo sapiens
ZINC000013740537,CHEMBL13250,COc1ccc(OC)c(N(C)Cc2cccc3nc(N)nc(N)c23)c1,6.6,6.6,6.6,Homo sapiens
ZINC000013740538,CHEMBL13250,COc1ccc(OC)c(CCc2cccc3nc(N)nc(N)c23)c1,7.885,7.39,8.38,Homo sapiens
ZINC000013740539,CHEMBL13250,COc1ccc(OC)c(C#Cc2cccc3nc(N)nc(N)c23)c1,6.85,6.85,6.85,Homo sapiens
ZINC000013740540,CHEMBL13250,COc1cc(NCc2cccc3nc(N)nc(N)c23)cc(OC)c1OC,6.51,6.51,6.51,Homo sapiens
ZINC000013740541,CHEMBL13250,COc1cc(N(C)Cc2cccc3nc(N)nc(N)c23)cc(OC)c1OC,7.31,7.31,7.31,Homo sapiens
ZINC000013740542,CHEMBL13250,COc1cc(CCc2cccc3nc(N)nc(N)c23)cc(OC)c1OC,7.754999999999999,7.14,8.37,Homo sapiens
ZINC000013740543,CHEMBL13250,Nc1nc(N)c2c(CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)cccc2n1,8.92,8.57,9.27,Homo sapiens
ZINC000013740726,CHEMBL13279,CC1(C)N=C(N)N=C(N)N1c1cccc(OCC23CC4CC(CC(C4)C2)C3)c1,6.11,6.11,6.11,Homo sapiens
ZINC000013743225,CHEMBL13052,Nc1nc(N)c2c(Sc3ccc(OC4CCOCC4)cc3)cccc2n1,6.7,6.7,6.7,Homo sapiens
ZINC000013745181,CHEMBL13371,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](C[C@H](F)C(=O)O)C(=O)O)cc1,8.87,8.87,8.87,Homo sapiens
ZINC000013745183,CHEMBL13371,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](C(=O)O)C(F)(F)CC(=O)O)cc1,8.87,8.87,8.87,Homo sapiens
ZINC000013745185,CHEMBL13372,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CC(F)(F)C(=O)O)C(=O)O)cc1,5.82,5.82,5.82,Homo sapiens
ZINC000013745187,CHEMBL13372,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@H](CC(F)(F)C(=O)O)C(=O)O)cc1,5.82,5.82,5.82,Homo sapiens
ZINC000013801424,CHEMBL15190,CCOc1cccc(Cc2cnc(N)nc2N)c1,6.7625,8.07,6.81,Homo sapiens
ZINC000013801426,CHEMBL15190,CCCOc1cccc(Cc2cnc(N)nc2N)c1,6.695,6.29,7.98,Homo sapiens
ZINC000013801429,CHEMBL15190,CCCCCOc1cccc(Cc2cnc(N)nc2N)c1,6.91,8.15,5.96,Homo sapiens
ZINC000013801431,CHEMBL15190,CC(C)Oc1cccc(Cc2cnc(N)nc2N)c1,7.0875,8.06,5.85,Homo sapiens
ZINC000013801434,CHEMBL15190,Nc1ncc(Cc2cccc(O[C@@H]3CCCCO3)c2)c(N)n1,6.8125,7.03,7.89,Homo sapiens
ZINC000013801436,CHEMBL15190,Nc1ncc(Cc2cccc(O[C@H]3CCCCO3)c2)c(N)n1,6.8125,7.03,7.89,Homo sapiens
ZINC000013809640,CHEMBL15564,C/C(=C\c1coc2nc(N)nc(N)c12)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,5.66,5.66,5.66,Homo sapiens
ZINC000013820121,CHEMBL10879,Nc1nc2ncc(NCc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)cc2c(=O)[nH]1,6.68,6.68,6.68,Homo sapiens
ZINC000013820123,CHEMBL10879,CN(Cc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)c1cnc2nc(N)[nH]c(=O)c2c1,6.6,6.6,6.6,Homo sapiens
ZINC000013820125,CHEMBL10879,Nc1nc2ncc(N(C=O)Cc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)cc2c(=O)[nH]1,5.71,5.71,5.71,Homo sapiens
ZINC000013860902,CHEMBL10739,C=C(C[C@H](NC(=O)c1ccc(N(C)Cc2cnc3nc(N)nc(N)c3n2)cc1)C(=O)O)C(=O)O,7.775,8.19,7.36,Homo sapiens
ZINC000013860903,CHEMBL10739,C=C(C[C@@H](NC(=O)c1ccc(N(C)Cc2cnc3nc(N)nc(N)c3n2)cc1)C(=O)O)C(=O)O,7.775,8.19,7.36,Homo sapiens
ZINC000013860904,CHEMBL10739,C=C(C[C@H](NC(=O)c1ccc(NCc2cnc3nc(N)nc(N)c3n2)cc1)C(=O)O)C(=O)O,7.06,7.06,7.06,Homo sapiens
ZINC000013860905,CHEMBL10739,C=C(C[C@@H](NC(=O)c1ccc(NCc2cnc3nc(N)nc(N)c3n2)cc1)C(=O)O)C(=O)O,7.06,7.06,7.06,Homo sapiens
ZINC000013860906,CHEMBL10739,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](C[C@@H](C#N)C(=O)O)C(=O)O)cc1,7.24,7.24,7.24,Homo sapiens
ZINC000013860907,CHEMBL10739,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@H](C[C@@H](C#N)C(=O)O)C(=O)O)cc1,7.24,7.24,7.24,Homo sapiens
ZINC000013860908,CHEMBL10743,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@H](C(=O)O)[C@@H](O)CC(=O)O)cc1,8.28,8.28,8.28,Homo sapiens
ZINC000013860909,CHEMBL10743,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](C(=O)O)[C@@H](O)CC(=O)O)cc1,8.28,8.28,8.28,Homo sapiens
ZINC000013860910,CHEMBL10743,Nc1nc(N)c2nc(CCc3ccc(C(=O)N[C@H](C(=O)O)[C@@H](O)CC(=O)O)cc3)cnc2n1,8.23,8.23,8.23,Homo sapiens
ZINC000013860911,CHEMBL10743,Nc1nc(N)c2nc(CCc3ccc(C(=O)N[C@@H](C(=O)O)[C@@H](O)CC(=O)O)cc3)cnc2n1,8.23,8.23,8.23,Homo sapiens
ZINC000013860912,CHEMBL10743,Nc1nc(N)c2nc(CCc3ccc(C(=O)N[C@H](C(=O)O)[C@H](O)CC(=O)O)cc3)cnc2n1,8.23,8.23,8.23,Homo sapiens
ZINC000013860913,CHEMBL10743,Nc1nc(N)c2nc(CCc3ccc(C(=O)N[C@@H](C(=O)O)[C@H](O)CC(=O)O)cc3)cnc2n1,8.23,8.23,8.23,Homo sapiens
ZINC000013860914,CHEMBL10743,C=C(C[C@@H](NC(=O)c1ccc(CCc2cnc3nc(N)nc(N)c3n2)cc1)C(=O)O)C(=O)O,8.06,8.06,8.06,Homo sapiens
ZINC000013860917,CHEMBL10744,CN(Cc1cnc2ncnc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,5.22,5.22,5.22,Homo sapiens
ZINC000013887907,CHEMBL10270,C[C@@H](Cc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)c1cnc2nc(N)nc(N)c2n1,7.4,7.4,7.4,Homo sapiens
ZINC000014967406,CHEMBL36076,CCc1c(Sc2ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc2)[nH]c2nc(N)nc(N)c12,7.18,7.18,7.18,Homo sapiens
ZINC000014967410,CHEMBL36076,CCc1c(Sc2cccc3ccccc23)[nH]c2nc(N)nc(N)c12,5.54,5.54,5.54,Homo sapiens
ZINC000014967413,CHEMBL36076,CCc1c(Sc2ccc3ccccc3c2)[nH]c2nc(N)nc(N)c12,5.22,5.22,5.22,Homo sapiens
ZINC000014967417,CHEMBL36076,CCc1c(Sc2ccc([N+](=O)[O-])cc2)[nH]c2nc(N)nc(N)c12,5.24,5.24,5.24,Homo sapiens
ZINC000014967420,CHEMBL36076,CCc1c(Sc2ccc(Br)cc2)[nH]c2nc(N)nc(N)c12,5.57,5.57,5.57,Homo sapiens
ZINC000014967431,CHEMBL36076,CCc1c(Sc2ccc(Cl)cc2Cl)[nH]c2nc(N)nc(N)c12,5.85,5.85,5.85,Homo sapiens
ZINC000014967435,CHEMBL36076,CCc1c(Sc2ccc(OC)cc2)[nH]c2nc(N)nc(N)c12,5.54,5.54,5.54,Homo sapiens
ZINC000014967439,CHEMBL36076,CCc1c(Sc2cc(OC)ccc2OC)[nH]c2nc(N)nc(N)c12,5.24,5.24,5.24,Homo sapiens
ZINC000014967451,CHEMBL36076,CCc1c(Sc2cccc3cccnc23)[nH]c2nc(N)nc(N)c12,5.85,5.85,5.85,Homo sapiens
ZINC000014968123,CHEMBL45337,COc1cc(CC#Cc2cnc(N)nc2N)cc(OC)c1OC,5.84,5.84,5.84,Homo sapiens
ZINC000014968127,CHEMBL45337,COc1cc(CC#Cc2c(C)nc(N)nc2N)cc(OC)c1OC,6.4,6.4,6.4,Homo sapiens
