molecule_zinc_id,molecule_chembl_id,smiles_clean,pKi_mean_value,pKi_last_value,pKi_first_value,target_organism
ZINC000001618702,CHEMBL12397,CC[C@@H](Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,8.475,8.36,8.59,Homo sapiens
ZINC000001618703,CHEMBL12397,CC[C@H](Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,8.475,8.36,8.59,Homo sapiens
ZINC000001634447,CHEMBL10743,C=C(C[C@H](NC(=O)c1ccc([C@@H](CC)Cc2cnc3nc(N)nc(N)c3n2)cc1)C(=O)O)C(=O)O,8.24,8.24,8.24,Homo sapiens
ZINC000001634448,CHEMBL10743,C=C(C[C@H](NC(=O)c1ccc([C@H](CC)Cc2cnc3nc(N)nc(N)c3n2)cc1)C(=O)O)C(=O)O,8.24,8.24,8.24,Homo sapiens
ZINC000001634449,CHEMBL10743,C=C(C[C@@H](NC(=O)c1ccc([C@@H](CC)Cc2cnc3nc(N)nc(N)c3n2)cc1)C(=O)O)C(=O)O,8.24,8.24,8.24,Homo sapiens
ZINC000001634450,CHEMBL10743,C=C(C[C@@H](NC(=O)c1ccc([C@H](CC)Cc2cnc3nc(N)nc(N)c3n2)cc1)C(=O)O)C(=O)O,8.24,8.24,8.24,Homo sapiens
ZINC000001666576,CHEMBL13279,CC1(C)N=C(N)N=C(N)N1c1cccc(Cl)c1,7.03,7.03,7.03,Homo sapiens
ZINC000001702724,CHEMBL9629,CN(Cc1ccc2nc(N)nc(N)c2c1)c1ccc(C(=O)N[C@H](CCC(=O)O)C(=O)O)cc1,8.41,8.41,8.41,Homo sapiens
ZINC000001712111,CHEMBL10151,Nc1nc(N)c2c(Cl)c(CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)ccc2n1,8.42,8.42,8.42,Homo sapiens
ZINC000001765969,CHEMBL7155,Nc1nc(N)c2nc(COc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)cnc2n1,6.13,6.13,6.13,Homo sapiens
ZINC000001767352,CHEMBL7155,Nc1nc(N)c2nc(CSc3ccc(C(=O)N[C@H](CCC(=O)O)C(=O)O)cc3)cnc2n1,5.57,5.57,5.57,Homo sapiens
ZINC000001866576,CHEMBL41861,COc1ccc(Nc2nc3cc(N)cc(N)c3nc2-c2ccccc2)cc1,5.74,5.74,5.74,Homo sapiens
ZINC000001893407,CHEMBL13069,Nc1nc(N)c2c(CCc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)coc2n1,6.21,6.6,6.0,Homo sapiens
ZINC000001995991,CHEMBL10044,Nc1nc2ccc(NCc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)cc2c(=O)[nH]1,6.96,6.96,6.96,Homo sapiens
ZINC000001996008,CHEMBL16403,COc1cc(NCc2cnc3nc(N)nc(N)c3c2C)cc(OC)c1,7.82,7.82,7.82,Homo sapiens
ZINC000001996101,CHEMBL16403,COc1ccc(OC)c(NCc2cnc3nc(N)nc(N)c3c2C)c1,6.0,6.0,6.0,Homo sapiens
ZINC000002004188,CHEMBL9629,Nc1nc2ccc(CN(C=O)c3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)cc2c(=O)[nH]1,7.96,7.96,7.96,Homo sapiens
ZINC000002036915,CHEMBL13250,Nc1nc(N)c2nc(CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)cnc2n1,8.062857142857142,7.51,9.68,Homo sapiens
ZINC000002046975,CHEMBL15564,CN(Cc1coc2nc(N)nc(N)c12)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,6.66,6.66,6.66,Homo sapiens
ZINC000002047758,CHEMBL13858,COc1cc(CN(C)c2cnc3nc(N)nc(N)c3c2)cc(OC)c1,5.54,5.54,5.54,Homo sapiens
ZINC000002047759,CHEMBL14570,COc1ccc(OC)c(CN(C)c2ccc3nc(N)nc(N)c3c2)c1,7.59,7.59,7.59,Homo sapiens
ZINC000003157274,CHEMBL15190,CCCOc1ccc(Cc2cnc(N)nc2N)cc1,6.7125,8.19,6.64,Homo sapiens
ZINC000003581056,CHEMBL53022,CC1(C)N=C(N)N=C(N)N1OCCCOc1cc(Cl)c(Cl)cc1Cl,8.11,8.11,8.11,Homo sapiens
ZINC000003612862,CHEMBL58709,COc1cc(Cc2cnc(N)nc2N)c2c(c1OC)O[C@H](C1CC1)C=C2,6.773333333333333,8.1,6.11,Homo sapiens
ZINC000003641217,CHEMBL17739,COc1ccc(C#CCCC(=O)O)cc1Cc1cnc(N)nc1N,5.3,5.3,5.3,Homo sapiens
ZINC000003807186,CHEMBL12397,Nc1nc(N)c2nc(CNc3ccc(C(=O)N[C@@H](CCCNC(=O)c4ccccc4C(=O)O)C(=O)O)cc3)cnc2n1,8.435,7.91,8.96,Homo sapiens
ZINC000003814851,CHEMBL53022,COc1ccc(OC)c(CNc2ccc3nc(N)nc(N)c3c2Cl)c1,7.99,7.99,7.99,Homo sapiens
ZINC000003814863,CHEMBL14570,COc1cc(CN(C)c2ccc3nc(N)nc(N)c3c2)cc(OC)c1,7.96,7.96,7.96,Homo sapiens
ZINC000003814864,CHEMBL14570,COc1ccc(CN(C)c2ccc3nc(N)nc(N)c3c2)c(OC)c1,7.3,7.3,7.3,Homo sapiens
ZINC000003814865,CHEMBL14570,COc1ccc(CN(C)c2ccc3nc(N)nc(N)c3c2)c(OC)c1OC,6.85,6.85,6.85,Homo sapiens
ZINC000003814945,CHEMBL16403,Cc1c(CNc2ccc(Cl)c(Cl)c2)cnc2nc(N)nc(N)c12,8.3,8.3,8.3,Homo sapiens
ZINC000003814951,CHEMBL16403,COc1ccc(NCc2cnc3nc(N)nc(N)c3c2C)cc1OC,8.29,8.29,8.29,Homo sapiens
ZINC000003814952,CHEMBL16403,CCOc1ccc(OCC)c(NCc2cnc3nc(N)nc(N)c3c2C)c1,5.64,5.64,5.64,Homo sapiens
ZINC000003814957,CHEMBL16403,Cc1c(CNc2cccc3ccccc23)cnc2nc(N)nc(N)c12,7.685,8.37,7.0,Homo sapiens
ZINC000003814959,CHEMBL13858,CN(Cc1ccccc1)c1cnc2nc(N)nc(N)c2c1,6.15,6.15,6.15,Homo sapiens
ZINC000003814961,CHEMBL13858,COc1ccc(CN(C)c2cnc3nc(N)nc(N)c3c2)c(OC)c1OC,6.28,6.28,6.28,Homo sapiens
ZINC000003814972,CHEMBL16403,Cc1c(CNc2cccc(Cl)c2)cnc2nc(N)nc(N)c12,7.77,7.77,7.77,Homo sapiens
ZINC000003814973,CHEMBL16403,Cc1c(CNc2ccc(Cl)cc2)cnc2nc(N)nc(N)c12,7.57,7.57,7.57,Homo sapiens
ZINC000003814992,CHEMBL12021,COc1ccc(OC)c(-c2sc3nc(N)nc(N)c3c2C)c1,6.12,6.12,6.12,Homo sapiens
ZINC000003814993,CHEMBL12021,COc1ccc(OC)c(Cc2sc3nc(N)nc(N)c3c2C)c1,6.14,6.14,6.14,Homo sapiens
ZINC000003815000,CHEMBL16403,Cc1cccc(SCc2cnc3nc(N)nc(N)c3c2C)c1,6.07,6.07,6.07,Homo sapiens
ZINC000003815002,CHEMBL16403,COc1cccc(SCc2cnc3nc(N)nc(N)c3c2C)c1,6.3,6.3,6.3,Homo sapiens
ZINC000003815004,CHEMBL16403,COc1ccc(SCc2cnc3nc(N)nc(N)c3c2C)cc1OC,6.36,6.36,6.36,Homo sapiens
ZINC000003815005,CHEMBL16403,Cc1c(CSc2cccc(Cl)c2)cnc2nc(N)nc(N)c12,6.38,6.38,6.38,Homo sapiens
ZINC000003815006,CHEMBL16403,Cc1c(CSc2ccc(Cl)cc2)cnc2nc(N)nc(N)c12,6.23,6.23,6.23,Homo sapiens
ZINC000003815010,CHEMBL16403,COc1cc(NCc2cnc3nc(N)nc(N)c3c2C)cc(C(F)(F)F)c1,8.26,8.26,8.26,Homo sapiens
ZINC000003815012,CHEMBL16403,COc1ccc(OC)c(CCc2cnc3nc(N)nc(N)c3c2C)c1,5.57,5.57,5.57,Homo sapiens
ZINC000003815013,CHEMBL16403,Cc1ccc(C)c(NCc2cnc3nc(N)nc(N)c3c2C)c1,7.24,7.24,7.24,Homo sapiens
ZINC000003815015,CHEMBL16403,COc1ccc(C)cc1NCc1cnc2nc(N)nc(N)c2c1C,6.52,6.52,6.52,Homo sapiens
ZINC000003815017,CHEMBL16403,COc1ccc(C(F)(F)F)cc1N(C)Cc1cnc2nc(N)nc(N)c2c1C,7.44,7.44,7.44,Homo sapiens
ZINC000003815019,CHEMBL16403,Nc1nc(N)c2cc(CNc3cccc4ccccc34)cnc2n1,6.09,6.09,6.09,Homo sapiens
ZINC000003815020,CHEMBL16403,Nc1nc(N)c2cc(CNc3ccc(Cl)cc3)cnc2n1,6.17,6.17,6.17,Homo sapiens
ZINC000003815021,CHEMBL16403,COc1cc(NCc2cnc3nc(N)nc(N)c3c2)cc(OC)c1OC,5.41,5.41,5.41,Homo sapiens
ZINC000003816419,CHEMBL17019,COc1cc2c(c3c1OCO3)[C@@H](C)N(Cc1cnc(N)nc1N)CC2,7.311666666666666,8.01,7.92,Homo sapiens
ZINC000003872649,CHEMBL12782,CN(Cc1coc2nc(N)nc(N)c12)c1ccc(C(=O)N[C@H](CCC(=O)O)C(=O)O)cc1,6.66,6.66,6.66,Homo sapiens
ZINC000003874328,CHEMBL17380,Cc1[nH]c(N)nc2ncc(CCc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)c1-2,6.01,6.1,5.92,Homo sapiens
ZINC000003916447,CHEMBL15662,Nc1nc(N)c2cc(COC(=O)c3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)ccc2n1,6.9,6.9,6.9,Homo sapiens
ZINC000003924393,CHEMBL10270,C[C@H](Cc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)c1cnc2nc(N)nc(N)c2n1,7.4,7.4,7.4,Homo sapiens
ZINC000004621661,CHEMBL10044,Nc1nc2ccc(COc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)cc2c(=O)[nH]1,6.77,6.77,6.77,Homo sapiens
ZINC000005011594,CHEMBL9629,CN(Cc1ccc2nc(N)[nH]c(=O)c2c1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,7.08,7.08,7.08,Homo sapiens
ZINC000005115792,CHEMBL15190,COc1cccc(Cc2cnc(N)nc2N)c1,6.545,8.02,6.0,Homo sapiens
ZINC000005373985,CHEMBL9629,Nc1nc(O)c2cc(CN(C=O)c3ccc(C(=O)N[C@H](CCC(=O)O)C(=O)O)cc3)ccc2n1,7.96,7.96,7.96,Homo sapiens
ZINC000005385734,CHEMBL9629,Cc1c(NCc2ccc(C(=O)N[C@H](CCC(=O)O)C(=O)O)cc2)ccc2nc(N)nc(N)c12,8.39,8.39,8.39,Homo sapiens
ZINC000005385736,CHEMBL10044,Nc1nc(=O)c2cc(NCc3ccc(C(=O)N[C@H](CCC(=O)O)C(=O)O)cc3)ccc2[nH]1,6.96,6.96,6.96,Homo sapiens
ZINC000005500341,CHEMBL41861,COc1cc(Nc2nc3cc(N)cc(N)c3nc2-c2ccccc2)cc(OC)c1,6.22,6.22,6.22,Homo sapiens
ZINC000005545634,CHEMBL12397,Nc1nc(N)c2nc(CNc3ccc(C(=O)N[C@H](CCCNC(=O)c4ccccc4C(=O)O)C(=O)O)cc3)cnc2n1,8.435,7.91,8.96,Homo sapiens
ZINC000005597213,CHEMBL41861,COc1cc(Nc2nc3cc(N)cc(N)c3nc2-c2ccccc2)cc(OC)c1OC,7.0,7.0,7.0,Homo sapiens
ZINC000005741747,CHEMBL12397,Nc1nc(N)c2nc(CNc3ccc(C(=O)N[C@H](CCNC(=O)c4ccccc4C(=O)O)C(=O)O)cc3)cnc2n1,7.94,7.94,7.94,Homo sapiens
ZINC000005741751,CHEMBL12397,Nc1nc(N)c2nc(CNc3ccc(C(=O)N[C@@H](CCCCNC(=O)c4ccccc4C(=O)O)C(=O)O)cc3)cnc2n1,7.94,7.94,7.94,Homo sapiens
ZINC000005834077,CHEMBL13052,CC(C)(C)c1ccc(Sc2c(N)ccc3nc(N)nc(N)c23)cc1,5.37,5.37,5.37,Homo sapiens
ZINC000005835968,CHEMBL13279,CC1(C)N=C(N)N=C(N)N1c1cccc(COc2cccc3ccccc23)c1,6.87,6.87,6.87,Homo sapiens
ZINC000005835974,CHEMBL13279,CC1(C)N=C(N)N=C(N)N1c1cccc(SCc2ccccc2)c1,7.37,7.37,7.37,Homo sapiens
