molecule_chembl_id,smiles_clean,pKi_mean_value,pKi_first_value,pKi_last_value,target_organism
CHEMBL22901,CCOc1cc(Cc2cnc(N)nc2N)ccc1OCc1cc(OC)c(OC)c(OC)c1,7.666696698480502,9.522878745280336,8.657577319177793,Plasmodium falciparum K1
CHEMBL120123,COc1cc(Cc2c(C)nc(N)nc2N)ccc1OCc1ccccc1,7.19962664510865,8.468521082957745,7.029653123769907,Plasmodium falciparum K1
CHEMBL118870,CCCCCOc1ccc(Cc2cnc(N)nc2N)cc1,6.3979400086720375,8.065501548756432,6.038768802955337,Plasmodium falciparum K1
CHEMBL419231,CCCOc1cc(Cc2cnc(N)nc2N)ccc1OC,6.553657035175222,8.744727494896694,6.036401037402759,Plasmodium falciparum K1
CHEMBL332013,CCOc1ccc(Cc2cnc(N)nc2N)cc1OC,5.409980626888151,7.812479279163536,4.927459689227899,Plasmodium falciparum K1
CHEMBL279948,Cc1nc(N)nc(N)c1Cc1ccc(OCc2ccccc2)c(OCc2ccccc2)c1,7.0363470676646624,8.065501548756432,7.096910013008056,Plasmodium falciparum K1
CHEMBL115483,COc1cc(Cc2cnc(N)nc2N)ccc1OCCCOc1ccccc1,6.64694976035741,8.698970004336019,6.217670731003163,Plasmodium falciparum K1
CHEMBL36,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,6.959362502880977,8.823908740944319,9.060480747381382,Plasmodium falciparum K1
CHEMBL21395,CCOc1cc(Cc2cnc(N)nc2N)ccc1OCc1ccccc1,6.832429506117927,9.096910013008056,8.013228265733755,Plasmodium falciparum K1
CHEMBL7004,Cc1ccc(N2C(N)=NC(N)=NC2(C)C)cc1,6.276434878750045,8.744727494896694,8.795880017344075,Plasmodium falciparum K1
CHEMBL433204,CC(C)(C)C1N=C(N)N=C(N)N1c1ccc(Cl)cc1,4.36371776519574,5.415895029600547,4.082384224106796,Plasmodium falciparum K1
CHEMBL92182,Cc1ccc(N2C(N)=NC(N)=NC2C)cc1,6.982966660701219,7.638272163982407,6.732828271596986,Plasmodium falciparum K1
CHEMBL89959,CCC1N=C(N)N=C(N)N1c1ccc(C)cc1,7.174249418651972,8.229147988357855,6.892790030352131,Plasmodium falciparum K1
CHEMBL90292,CCCCC1N=C(N)N=C(N)N1c1ccc(Cl)cc1,7.068796474549248,8.431798275933005,6.777283528852417,Plasmodium falciparum K1
CHEMBL93153,CC1N=C(N)N=C(N)N1c1ccc(Cl)c(Cl)c1,8.017728766960431,8.853871964321762,7.7495799976911055,Plasmodium falciparum K1
CHEMBL94281,CC(C)C1N=C(N)N=C(N)N1c1ccc(Br)cc1,6.21289390696343,7.522878745280337,5.922632094715843,Plasmodium falciparum K1
CHEMBL93001,NC1=NCN(c2ccc(F)cc2)C(N)=N1,6.559615745167116,6.568636235841012,7.055517327849831,Plasmodium falciparum K1
CHEMBL90703,CCCC1N=C(N)N=C(N)N1c1ccc(Cl)cc1,7.253365801062421,8.337242168318426,6.97061622231479,Plasmodium falciparum K1
CHEMBL90358,Cc1ccc(N2C(N)=NC(N)=NC2C(C)C)cc1,6.089642442727122,6.777283528852417,5.835647144215563,Plasmodium falciparum K1
CHEMBL93484,CC1N=C(N)N=C(N)N1c1ccc(Cl)cc1,6.201132409462645,8.387216143280265,6.896196279044043,Plasmodium falciparum K1
CHEMBL93974,NC1=NC(c2ccccc2)N(c2ccc(Cl)c(Cl)c2)C(N)=N1,8.200659450546418,8.795880017344075,7.958607314841775,Plasmodium falciparum K1
CHEMBL92583,CC1(C)N=C(N)N=C(N)N1c1ccc(Cl)c(Cl)c1,7.35359627377693,8.958607314841775,8.958607314841775,Plasmodium falciparum K1
CHEMBL93893,NC1=NC(c2ccccc2)N(c2ccc(Br)cc2)C(N)=N1,7.333014281670339,8.537602002101044,7.045757490560675,Plasmodium falciparum K1
CHEMBL6742,CC1(C)N=C(N)N=C(N)N1c1ccccc1,6.291012874906457,7.698970004336019,6.853871964321762,Plasmodium falciparum K1
CHEMBL13636,CC1N=C(N)N=C(N)N1c1cccc(Cl)c1,7.74300751450242,7.991399828238082,7.4089353929735005,Plasmodium falciparum K1
CHEMBL7005,CC1(C)N=C(N)N=C(N)N1c1ccc(F)cc1,6.220018922060499,8.337242168318426,6.769551078621726,Plasmodium falciparum K1
CHEMBL6741,CC1(C)N=C(N)N=C(N)N1c1ccc(Br)cc1,6.187242571929247,8.958607314841775,8.920818753952375,Plasmodium falciparum K1
CHEMBL93889,NC1=NC(c2ccccc2)N(c2ccc(Cl)cc2)C(N)=N1,6.181840113602815,8.346787486224656,7.30715308072277,Plasmodium falciparum K1
CHEMBL443013,CCCC1N=C(N)N=C(N)N1c1ccc(C)cc1,6.996324097451216,7.863279432843593,6.72584215073632,Plasmodium falciparum K1
CHEMBL92846,NC1=NCN(c2ccccc2)C(N)=N1,6.47755576649368,6.482804102050025,7.070581074285707,Plasmodium falciparum K1
CHEMBL90018,NC1=NCN(c2ccc(Cl)cc2)C(N)=N1,6.65024342599666,7.61261017366127,9.075720713938118,Plasmodium falciparum K1
CHEMBL93888,CCCC1N=C(N)N=C(N)N1c1ccc(Br)cc1,7.188424994129407,8.585026652029182,6.896196279044043,Plasmodium falciparum K1
CHEMBL329687,NC1=NC(c2ccccc2)N(c2cccc(Cl)c2)C(N)=N1,6.712870379280889,7.931814138253838,7.978810700930062,Plasmodium falciparum K1
