molecule_chembl_id,molecule_zinc_id,smiles_clean,pKi_mean_value,pKi_last_value,pKi_first_value,target_organism
CHEMBL17071,ZINC000013469871,C/C(=N\N=C(/N)S)c1ccc(Oc2c(Cl)cncc2Cl)cc1,5.967142857142856,6.05,6.0,PFLAK
CHEMBL16871,ZINC000013472712,CCc1nc(N)nc(N)c1-c1ccc(C)cc1,8.16625,7.06,9.4,PFLAK
CHEMBL16871,ZINC000013472713,CCc1nc(N)nc(N)c1-c1ccc(C(C)(C)C)cc1,7.564,7.18,9.22,PFLAK
CHEMBL16871,ZINC000013472714,CCc1nc(N)nc(N)c1-c1ccc(-c2ccccc2)cc1,6.332,7.05,6.73,PFLAK
CHEMBL16871,ZINC000013472715,CCc1nc(N)nc(N)c1-c1ccc(OC)cc1,8.105,7.07,9.05,PFLAK
CHEMBL14888,ZINC000013472716,CCc1nc(N)nc(N)c1-c1cccc(Cl)c1,7.744117647058823,5.04,9.52,PFLAK
CHEMBL16871,ZINC000013472717,CCc1nc(N)nc(N)c1-c1ccc2c(c1)OCO2,7.73125,8.08,8.96,PFLAK
CHEMBL21047,ZINC000013472718,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1Cl,7.2025,7.9,9.04,PFLAK
CHEMBL16871,ZINC000013472719,CCc1nc(N)nc(N)c1-c1ccc(OCc2ccc(Cl)cc2Cl)c(OC)c1,8.0175,8.02,9.0,PFLAK
CHEMBL21047,ZINC000013472720,CCOc1c(Br)cc(-c2c(N)nc(N)nc2CC)cc1Br,7.0575,8.15,7.43,PFLAK
CHEMBL21047,ZINC000013472721,Nc1ncc(-c2ccc(Cl)cc2)c(N)n1,7.609999999999999,6.26,9.13,PFLAK
CHEMBL21047,ZINC000013472722,COC(=O)CCCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,8.12875,6.44,9.85,PFLAK
CHEMBL16871,ZINC000013472723,Nc1nc(N)c(-c2ccc(Cl)cc2)c(CCCc2ccccc2)n1,8.088750000000001,7.2,9.15,PFLAK
CHEMBL16871,ZINC000013472724,COC(=O)CCCc1nc(N)nc(N)c1-c1ccccc1,8.42,8.26,9.22,PFLAK
CHEMBL16871,ZINC000013472725,CCCCCCc1nc(N)nc(N)c1-c1ccccc1,7.843846153846154,5.19,9.52,PFLAK
CHEMBL16871,ZINC000013472726,Nc1nc(N)c(-c2ccccc2)c(CCCc2ccccc2)n1,7.74909090909091,5.07,9.3,PFLAK
CHEMBL16871,ZINC000013472727,Nc1ncc(-c2cccc(Cl)c2)c(N)n1,7.0920000000000005,5.06,7.58,PFLAK
CHEMBL16871,ZINC000013472728,Cc1nc(N)nc(N)c1-c1cccc(Cl)c1,7.876666666666667,8.01,8.72,PFLAK
CHEMBL16871,ZINC000013472729,COC(=O)CCCc1nc(N)nc(N)c1-c1cccc(Cl)c1,8.905714285714286,8.55,9.3,PFLAK
CHEMBL16871,ZINC000013472730,Nc1nc(N)c(-c2cccc(Cl)c2)c(CCCc2ccccc2)n1,7.268333333333333,6.17,8.92,PFLAK
CHEMBL17662,ZINC000013472731,COc1ccc(CCCc2nc(N)nc(N)c2-c2cccc(Cl)c2)cc1,7.406923076923078,8.22,8.89,PFLAK
CHEMBL16871,ZINC000013472732,Nc1nc(N)c(-c2cccc(Cl)c2)c(CCOCCCOc2ccccc2)n1,7.625384615384615,5.34,9.4,PFLAK
CHEMBL16871,ZINC000013472733,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OCc1ccccc1,7.576666666666667,7.14,8.38,PFLAK
CHEMBL17636,ZINC000013472734,CCOc1cc(Cc2cnc(N)nc2N)ccc1OCc1ccccc1,7.493636363636364,8.01,9.1,PFLAK
CHEMBL16871,ZINC000013472735,Nc1ncc(Cc2ccc(OCc3ccccc3)c(OCc3ccccc3)c2)c(N)n1,6.815714285714286,5.09,8.77,PFLAK
CHEMBL17636,ZINC000013472736,Cc1nc(N)nc(N)c1Cc1ccc(OCc2ccccc2)c(OCc2ccccc2)c1,6.70375,7.1,6.76,PFLAK
CHEMBL17636,ZINC000013472737,CCc1nc(N)nc(N)c1Cc1ccc(OCc2ccccc2)c(OCc2ccccc2)c1,6.674666666666667,7.0,7.7,PFLAK
CHEMBL16871,ZINC000013472738,COc1cc(COc2cc(Cc3cnc(N)nc3N)ccc2OCc2ccccc2)cc(OC)c1OC,6.989999999999999,6.3,7.92,PFLAK
CHEMBL16871,ZINC000013472739,COc1cc(COc2ccc(Cc3cnc(N)nc3N)cc2)cc(OC)c1OC,7.495833333333334,7.12,8.89,PFLAK
CHEMBL16871,ZINC000013472740,COc1cc(Cc2cnc(N)nc2N)ccc1OCc1cc(OC)c(OC)c(OC)c1,7.598333333333334,8.06,9.22,PFLAK
CHEMBL16871,ZINC000013472741,CCOc1cc(Cc2cnc(N)nc2N)ccc1OCc1cc(OC)c(OC)c(OC)c1,7.624285714285714,7.15,9.52,PFLAK
