molecule_chembl_id,molecule_zinc_id,smiles_clean,pKi_mean_value,pKi_last_value,pKi_first_value,target_organism
CHEMBL15522,ZINC000017126763,CC1(C)N=C(N)N=C(N)N1c1ccc(F)cc1,6.966666666666666,8.34,5.79,PFLAK
CHEMBL15522,ZINC000017353521,C[C@@H]1N=C(N)N=C(N)N1c1ccc(Cl)c(Cl)c1,8.3,7.75,8.85,PFLAK
CHEMBL17071,ZINC000017949002,N/C(S)=N/N=C/c1ccccc1,5.05,5.05,5.05,PFLAK
CHEMBL17662,ZINC000027732635,NC1=N[C@@H](c2cccc(OCCCOc3cc(Cl)c(Cl)cc3Cl)c2)N(c2cccc(Cl)c2)C(N)=N1,6.874545454545455,5.07,8.7,PFLAK
CHEMBL17662,ZINC000027732640,NC1=N[C@H](c2cccc(OCCCOc3cc(Cl)c(Cl)cc3Cl)c2)N(c2cccc(Cl)c2)C(N)=N1,6.874545454545455,5.07,8.7,PFLAK
CHEMBL17636,ZINC000034801983,CCCCCCCOc1ccc(Cc2cnc(N)nc2N)cc1,6.495,5.66,5.86,PFLAK
CHEMBL17636,ZINC000034801984,CCCCCCCOc1cc(Cc2cnc(N)nc2N)ccc1OC,7.095000000000001,6.35,6.99,PFLAK
CHEMBL17662,ZINC000034801985,CCCCCCC[C@@H]1N=C(N)N=C(N)N1c1cccc(Cl)c1,7.811818181818182,7.4,9.52,PFLAK
CHEMBL17662,ZINC000034801986,CCCCCCC[C@H]1N=C(N)N=C(N)N1c1cccc(Cl)c1,7.811818181818182,7.4,9.52,PFLAK
CHEMBL14888,ZINC000095600434,NC(=O)c1ccc[n+]([C@H]2O[C@@H](CO[P@@](=O)(O)O[P@@](=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@H](O)[C@@H]2O)c1,8.085,8.33,7.84,PFLAK
