,zinc_id,gene_name,affinity,smiles
45,ZINC000013472718,DRTS_PLAFK,9.04,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1Cl
46,ZINC000013472719,DRTS_PLAFK,9.0,CCc1nc(N)nc(N)c1-c1ccc(OCc2ccc(Cl)cc2Cl)c(OC)c1
47,ZINC000013532888,DRTS_PLAFK,9.0,CCOc1cc(Cc2cnc(N)nc2N)ccc1OCCCc1ccccc1
48,ZINC000013555336,DRTS_PLAFK,8.97,CCc1nc(N)nc(N)c1-c1cccc(OC)c1
49,ZINC000000001233,DRTS_PLAFK,8.96,CC1(C)N=C(N)N=C(N)N1c1ccc(Cl)cc1
50,ZINC000000146421,DRTS_PLAFK,8.96,CC1(C)N=C(N)N=C(N)N1c1ccc(Br)cc1
51,ZINC000001666573,DRTS_PLAFK,8.96,CC1(C)N=C(N)N=C(N)N1c1ccc(Cl)c(Cl)c1
52,ZINC000003581056,DRTS_PLAFK,8.96,CC1(C)N=C(N)N=C(N)N1OCCCOc1cc(Cl)c(Cl)cc1Cl
53,ZINC000013472717,DRTS_PLAFK,8.96,CCc1nc(N)nc(N)c1-c1ccc2c(c1)OCO2
54,ZINC000013559314,DRTS_PLAFK,8.96,NC1=N[C@@H](c2cccc(Oc3ccccc3)c2)N(c2cccc(Cl)c2)C(N)=N1
55,ZINC000013559315,DRTS_PLAFK,8.96,NC1=N[C@H](c2cccc(Oc3ccccc3)c2)N(c2cccc(Cl)c2)C(N)=N1
56,ZINC000013472730,DRTS_PLAFK,8.92,Nc1nc(N)c(-c2cccc(Cl)c2)c(CCCc2ccccc2)n1
57,ZINC000013472731,DRTS_PLAFK,8.89,COc1ccc(CCCc2nc(N)nc(N)c2-c2cccc(Cl)c2)cc1
58,ZINC000013472739,DRTS_PLAFK,8.89,COc1cc(COc2ccc(Cc3cnc(N)nc3N)cc2)cc(OC)c1OC
59,ZINC000013559322,DRTS_PLAFK,8.89,NC1=N[C@@H](c2cccc(Oc3ccc(Cl)cc3)c2)N(c2cccc(Cl)c2)C(N)=N1
60,ZINC000013559323,DRTS_PLAFK,8.89,NC1=N[C@H](c2cccc(Oc3ccc(Cl)cc3)c2)N(c2cccc(Cl)c2)C(N)=N1
61,ZINC000004821963,DRTS_PLAFK,8.85,C[C@H]1N=C(N)N=C(N)N1c1ccc(Cl)c(Cl)c1
62,ZINC000013559320,DRTS_PLAFK,8.85,NC1=N[C@@H](c2cccc(Oc3ccc(Cl)cc3)c2)N(c2ccc(Cl)cc2)C(N)=N1
63,ZINC000013559321,DRTS_PLAFK,8.85,NC1=N[C@H](c2cccc(Oc3ccc(Cl)cc3)c2)N(c2ccc(Cl)cc2)C(N)=N1
64,ZINC000017353521,DRTS_PLAFK,8.85,C[C@@H]1N=C(N)N=C(N)N1c1ccc(Cl)c(Cl)c1
65,ZINC000013476296,DRTS_PLAFK,8.8,NC1=N[C@@H](c2ccccc2)N(c2ccc(Cl)c(Cl)c2)C(N)=N1
66,ZINC000013476298,DRTS_PLAFK,8.8,NC1=N[C@H](c2ccccc2)N(c2ccc(Cl)c(Cl)c2)C(N)=N1
67,ZINC000013532863,DRTS_PLAFK,8.8,CCCCCOc1ccc(Cc2cnc(N)nc2N)cc1OCC
68,ZINC000017040529,DRTS_PLAFK,8.8,Cc1ccc(N2C(N)=NC(N)=NC2(C)C)cc1
69,ZINC000013472735,DRTS_PLAFK,8.77,Nc1ncc(Cc2ccc(OCc3ccccc3)c(OCc3ccccc3)c2)c(N)n1
70,ZINC000005888905,DRTS_PLAFK,8.74,COc1cc(Cc2cnc(N)nc2N)ccc1OCCCc1ccccc1
71,ZINC000013532849,DRTS_PLAFK,8.74,CCCOc1cc(Cc2cnc(N)nc2N)ccc1OC
72,ZINC000013532909,DRTS_PLAFK,8.74,COc1cc(Cc2cnc(N)nc2N)ccc1OCCCOCCCOc1ccccc1
73,ZINC000013532938,DRTS_PLAFK,8.74,CCCOc1cc(Cc2c(N)nc(N)nc2CC)ccc1OCc1cc(OC)c(OC)c(OC)c1
74,ZINC000013559294,DRTS_PLAFK,8.74,CC(=O)OCCCc1nc(N)nc(N)c1-c1cccc(Cl)c1
75,ZINC000013472728,DRTS_PLAFK,8.72,Cc1nc(N)nc(N)c1-c1cccc(Cl)c1
76,ZINC000013532895,DRTS_PLAFK,8.7,COc1cc(Cc2cnc(N)nc2N)ccc1OCCCOc1ccccc1
77,ZINC000027732635,DRTS_PLAFK,8.7,NC1=N[C@@H](c2cccc(OCCCOc3cc(Cl)c(Cl)cc3Cl)c2)N(c2cccc(Cl)c2)C(N)=N1
78,ZINC000027732640,DRTS_PLAFK,8.7,NC1=N[C@H](c2cccc(OCCCOc3cc(Cl)c(Cl)cc3Cl)c2)N(c2cccc(Cl)c2)C(N)=N1
79,ZINC000000010466,DRTS_PLAFK,8.66,COc1cc(Cc2cnc(N)nc2N)ccc1OCc1ccccc1
80,ZINC000001666576,DRTS_PLAFK,8.66,CC1(C)N=C(N)N=C(N)N1c1cccc(Cl)c1
81,ZINC000013532859,DRTS_PLAFK,8.66,CCCCCOc1cc(Cc2cnc(N)nc2N)ccc1OC
82,ZINC000013282257,DRTS_PLAFK,8.64,CCc1nc(N)nc(N)c1-c1ccccc1
83,ZINC000013532914,DRTS_PLAFK,8.64,CCOc1cc(Cc2cnc(N)nc2N)ccc1OCCCOCCCOc1ccccc1
84,ZINC000013559292,DRTS_PLAFK,8.64,Nc1nc(N)c(-c2cccc(Cl)c2)c(CCCO)n1
85,ZINC000013559318,DRTS_PLAFK,8.64,NC1=N[C@@H](c2cccc(OCc3ccccc3)c2)N(c2cccc(Cl)c2)C(N)=N1
86,ZINC000013559319,DRTS_PLAFK,8.64,NC1=N[C@H](c2cccc(OCc3ccccc3)c2)N(c2cccc(Cl)c2)C(N)=N1
87,ZINC000013559306,DRTS_PLAFK,8.62,CCCCCC[C@@]1(C)N=C(N)N=C(N)N1c1cccc(Cl)c1
88,ZINC000013559307,DRTS_PLAFK,8.62,CCCCCC[C@]1(C)N=C(N)N=C(N)N1c1cccc(Cl)c1
89,ZINC000013532854,DRTS_PLAFK,8.6,CCCCOc1cc(Cc2cnc(N)nc2N)ccc1OC
90,ZINC000013809222,DRTS_PLAFK,8.59,CCC[C@@H]1N=C(N)N=C(N)N1c1ccc(Br)cc1
91,ZINC000013809223,DRTS_PLAFK,8.59,CCC[C@H]1N=C(N)N=C(N)N1c1ccc(Br)cc1
92,ZINC000013476289,DRTS_PLAFK,8.54,NC1=N[C@@H](c2ccccc2)N(c2ccc(Br)cc2)C(N)=N1
93,ZINC000013476290,DRTS_PLAFK,8.54,NC1=N[C@H](c2ccccc2)N(c2ccc(Br)cc2)C(N)=N1
94,ZINC000034801984,DRTS_PLAFK,8.51,CCCCCCCOc1cc(Cc2cnc(N)nc2N)ccc1OC
95,ZINC000013532930,DRTS_PLAFK,8.47,COc1cc(Cc2c(C)nc(N)nc2N)ccc1OCc1ccccc1
96,ZINC000013532934,DRTS_PLAFK,8.46,CCc1nc(N)nc(N)c1Cc1ccc(OCc2ccccc2)c(OC)c1
97,ZINC000013559298,DRTS_PLAFK,8.46,CCC[C@@]1(C)N=C(N)N=C(N)N1c1ccc(Cl)cc1
98,ZINC000013559299,DRTS_PLAFK,8.46,CCC[C@]1(C)N=C(N)N=C(N)N1c1ccc(Cl)cc1
99,ZINC000001722911,DRTS_PLAFK,8.44,CC[C@@H]1N=C(N)N=C(N)N1c1ccc(Cl)cc1
100,ZINC000004983774,DRTS_PLAFK,8.44,CC[C@H]1N=C(N)N=C(N)N1c1ccc(Cl)cc1
101,ZINC000013472737,DRTS_PLAFK,8.43,CCc1nc(N)nc(N)c1Cc1ccc(OCc2ccccc2)c(OCc2ccccc2)c1
102,ZINC000013809210,DRTS_PLAFK,8.43,CCCC[C@@H]1N=C(N)N=C(N)N1c1ccc(Cl)cc1
103,ZINC000013809212,DRTS_PLAFK,8.43,CCCC[C@H]1N=C(N)N=C(N)N1c1ccc(Cl)cc1
104,ZINC000002034278,DRTS_PLAFK,8.39,C[C@H]1N=C(N)N=C(N)N1c1ccc(Cl)cc1
105,ZINC000002034279,DRTS_PLAFK,8.39,C[C@@H]1N=C(N)N=C(N)N1c1ccc(Cl)cc1
106,ZINC000013472733,DRTS_PLAFK,8.38,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OCc1ccccc1
107,ZINC000013488367,DRTS_PLAFK,8.38,C[C@@H]1N=C(N)N=C(N)N1c1cccc(Cl)c1
108,ZINC000013488368,DRTS_PLAFK,8.38,C[C@H]1N=C(N)N=C(N)N1c1cccc(Cl)c1
109,ZINC000013532925,DRTS_PLAFK,8.37,CCc1nc(N)nc(N)c1Cc1cc(OC)c(OC)c(OC)c1
110,ZINC000001748451,DRTS_PLAFK,8.35,NC1=N[C@@H](c2ccccc2)N(c2ccc(Cl)cc2)C(N)=N1
111,ZINC000017039796,DRTS_PLAFK,8.35,NC1=N[C@H](c2ccccc2)N(c2ccc(Cl)cc2)C(N)=N1
112,ZINC000013559304,DRTS_PLAFK,8.34,CCC[C@@]1(C)N=C(N)N=C(N)N1c1cccc(Cl)c1
113,ZINC000013559305,DRTS_PLAFK,8.34,CCC[C@]1(C)N=C(N)N=C(N)N1c1cccc(Cl)c1
114,ZINC000013809206,DRTS_PLAFK,8.34,CCC[C@@H]1N=C(N)N=C(N)N1c1ccc(Cl)cc1
115,ZINC000013809208,DRTS_PLAFK,8.34,CCC[C@H]1N=C(N)N=C(N)N1c1ccc(Cl)cc1
116,ZINC000017126763,DRTS_PLAFK,8.34,CC1(C)N=C(N)N=C(N)N1c1ccc(F)cc1
117,ZINC000095600434,DRTS_PLAFK,8.33,NC(=O)c1ccc[n+]([C@H]2O[C@@H](CO[P@@](=O)(O)O[P@@](=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@H](O)[C@@H]2O)c1
118,ZINC000013559293,DRTS_PLAFK,8.3,CC(=O)OCCCc1nc(N)nc(N)c1-c1ccccc1
119,ZINC000013532877,DRTS_PLAFK,8.28,Nc1ncc(Cc2cccc(Oc3ccccc3)c2)c(N)n1
120,ZINC000013476267,DRTS_PLAFK,8.24,C[C@@H]1N=C(N)N=C(N)N1c1ccc(Br)cc1
121,ZINC000013476268,DRTS_PLAFK,8.24,C[C@H]1N=C(N)N=C(N)N1c1ccc(Br)cc1
122,ZINC000013809218,DRTS_PLAFK,8.24,CC[C@@H]1N=C(N)N=C(N)N1c1ccc(Br)cc1
123,ZINC000013809220,DRTS_PLAFK,8.24,CC[C@H]1N=C(N)N=C(N)N1c1ccc(Br)cc1
124,ZINC000005974507,DRTS_PLAFK,8.23,Nc1ncc(Cc2ccc(OCCCc3ccccc3)cc2)c(N)n1
125,ZINC000013809229,DRTS_PLAFK,8.23,CC[C@@H]1N=C(N)N=C(N)N1c1ccc(C)cc1
126,ZINC000013809231,DRTS_PLAFK,8.23,CC[C@H]1N=C(N)N=C(N)N1c1ccc(C)cc1
127,ZINC000013472727,DRTS_PLAFK,8.2,Nc1ncc(-c2cccc(Cl)c2)c(N)n1
128,ZINC000013532872,DRTS_PLAFK,8.2,Nc1ncc(Cc2cccc(OCc3ccccc3)c2)c(N)n1
129,ZINC000005974561,DRTS_PLAFK,8.19,Nc1ncc(Cc2ccc(OCc3ccccc3)cc2)c(N)n1
130,ZINC000013532891,DRTS_PLAFK,8.19,Nc1ncc(Cc2ccc(OCCCOc3ccccc3)cc2)c(N)n1
131,ZINC000013472720,DRTS_PLAFK,8.15,CCOc1c(Br)cc(-c2c(N)nc(N)nc2CC)cc1Br
132,ZINC000013532904,DRTS_PLAFK,8.15,Nc1ncc(Cc2ccc(OCCCOCCCOc3ccccc3)cc2)c(N)n1
133,ZINC000013532881,DRTS_PLAFK,8.14,COc1ccc(Cc2cnc(N)nc2N)cc1OCc1ccccc1
134,ZINC000003076473,DRTS_PLAFK,8.11,Cc1ccc(N2C(N)=NC(N)=N[C@@H]2c2ccccc2)cc1
135,ZINC000003076474,DRTS_PLAFK,8.11,Cc1ccc(N2C(N)=NC(N)=N[C@H]2c2ccccc2)cc1
136,ZINC000013472736,DRTS_PLAFK,8.07,Cc1nc(N)nc(N)c1Cc1ccc(OCc2ccccc2)c(OCc2ccccc2)c1
137,ZINC000013532846,DRTS_PLAFK,8.07,CCCCCOc1ccc(Cc2cnc(N)nc2N)cc1
138,ZINC000001749924,DRTS_PLAFK,8.0,NC1=N[C@@H](c2ccccc2)N(c2cccc(Cl)c2)C(N)=N1
139,ZINC000006627681,DRTS_PLAFK,8.0,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC
140,ZINC000017040301,DRTS_PLAFK,8.0,NC1=N[C@H](c2ccccc2)N(c2cccc(Cl)c2)C(N)=N1
141,ZINC000013284968,DRTS_PLAFK,7.96,Cc1nc(N)nc(N)c1-c1ccccc1
142,ZINC000000024946,DRTS_PLAFK,7.94,COc1ccc(Cc2cnc(N)nc2N)cc1OC
143,ZINC000013472738,DRTS_PLAFK,7.92,COc1cc(COc2cc(Cc3cnc(N)nc3N)ccc2OCc2ccccc2)cc(OC)c1OC
144,ZINC000013809233,DRTS_PLAFK,7.86,CCC[C@@H]1N=C(N)N=C(N)N1c1ccc(C)cc1
145,ZINC000013809235,DRTS_PLAFK,7.86,CCC[C@H]1N=C(N)N=C(N)N1c1ccc(C)cc1
146,ZINC000003157274,DRTS_PLAFK,7.82,CCCOc1ccc(Cc2cnc(N)nc2N)cc1
147,ZINC000005884512,DRTS_PLAFK,7.81,CCOc1ccc(Cc2cnc(N)nc2N)cc1OC
148,ZINC000034801983,DRTS_PLAFK,7.75,CCCCCCCOc1ccc(Cc2cnc(N)nc2N)cc1
149,ZINC000016981849,DRTS_PLAFK,7.7,CC1(C)N=C(N)N=C(N)N1c1ccccc1
150,ZINC000013476270,DRTS_PLAFK,7.64,Cc1ccc(N2C(N)=NC(N)=N[C@H]2C)cc1
151,ZINC000013476271,DRTS_PLAFK,7.64,Cc1ccc(N2C(N)=NC(N)=N[C@@H]2C)cc1
152,ZINC000000380804,DRTS_PLAFK,7.63,COc1ccc(Cc2cnc(N)nc2N)cc1
153,ZINC000013559300,DRTS_PLAFK,7.59,CC(C)[C@@]1(C)N=C(N)N=C(N)N1c1cccc(Cl)c1
154,ZINC000013559301,DRTS_PLAFK,7.59,CC(C)[C@]1(C)N=C(N)N=C(N)N1c1cccc(Cl)c1
155,ZINC000013809225,DRTS_PLAFK,7.52,CC(C)[C@@H]1N=C(N)N=C(N)N1c1ccc(Br)cc1
156,ZINC000013809227,DRTS_PLAFK,7.52,CC(C)[C@H]1N=C(N)N=C(N)N1c1ccc(Br)cc1
157,ZINC000013559302,DRTS_PLAFK,7.44,CC(C)[C@@]1(C)N=C(N)N=C(N)N1c1ccc(Cl)cc1
158,ZINC000013559303,DRTS_PLAFK,7.44,CC(C)[C@]1(C)N=C(N)N=C(N)N1c1ccc(Cl)cc1
159,ZINC000013532920,DRTS_PLAFK,7.42,COc1cc(Cc2c(C)nc(N)nc2N)cc(OC)c1OC
160,ZINC000000040057,DRTS_PLAFK,7.38,Nc1ncc(-c2ccccc2)c(N)n1
161,ZINC000013559291,DRTS_PLAFK,7.23,Nc1nc(N)c(-c2ccccc2)c(CCCO)n1
162,ZINC000002034275,DRTS_PLAFK,7.22,CC(C)[C@H]1N=C(N)N=C(N)N1c1ccc(Cl)cc1
163,ZINC000002034277,DRTS_PLAFK,7.22,CC(C)[C@@H]1N=C(N)N=C(N)N1c1ccc(Cl)cc1
164,ZINC000013809241,DRTS_PLAFK,7.07,NC1=NCN(c2ccccc2)C(N)=N1
165,ZINC000013809243,DRTS_PLAFK,7.06,NC1=NCN(c2ccc(F)cc2)C(N)=N1
