molecule_chembl_id,smiles,pKi_mean_value,mean_standard_value,pKi_first_value,first_standard_value,standard_units,target_organism
CHEMBL22811,COc1cc(Cc2cnc(N)nc2N)ccc1OCc1cc(OC)c(OC)c(OC)c1,9.221848749616356,0.6,9.221848749616356,0.6,nM,Plasmodium falciparum K1
CHEMBL22901,CCOc1cc(Cc2cnc(N)nc2N)ccc1OCc1cc(OC)c(OC)c(OC)c1,9.522878745280337,0.3,9.522878745280337,0.3,nM,Plasmodium falciparum K1
CHEMBL120123,COc1cc(Cc2c(C)nc(N)nc2N)ccc1OCc1ccccc1,8.468521082957745,3.4,8.468521082957745,3.4,nM,Plasmodium falciparum K1
CHEMBL118870,CCCCCOc1ccc(Cc2cnc(N)nc2N)cc1,8.065501548756432,8.6,8.065501548756432,8.6,nM,Plasmodium falciparum K1
CHEMBL419231,CCCOc1cc(Cc2cnc(N)nc2N)ccc1OC,8.744727494896694,1.8,8.744727494896694,1.8,nM,Plasmodium falciparum K1
CHEMBL332013,CCOc1ccc(Cc2cnc(N)nc2N)cc1OC,7.8124792791635365,15.4,7.8124792791635365,15.4,nM,Plasmodium falciparum K1
CHEMBL279948,Cc1nc(N)nc(N)c1Cc1ccc(OCc2ccccc2)c(OCc2ccccc2)c1,8.065501548756432,8.6,8.065501548756432,8.6,nM,Plasmodium falciparum K1
CHEMBL115483,COc1cc(Cc2cnc(N)nc2N)ccc1OCCCOc1ccccc1,8.698970004336019,2.0,8.698970004336019,2.0,nM,Plasmodium falciparum K1
CHEMBL36,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,6.942313153336918,114.20545454545454,8.823908740944319,1.5,nM,Plasmodium falciparum K1
CHEMBL21395,CCOc1cc(Cc2cnc(N)nc2N)ccc1OCc1ccccc1,9.070581074285707,0.8500000000000001,9.096910013008056,0.8,nM,Plasmodium falciparum K1
CHEMBL7004,Cc1ccc(N2C(N)=NC(N)=NC2(C)C)cc1,8.769551078621726,1.7000000000000002,8.744727494896694,1.8,nM,Plasmodium falciparum K1
CHEMBL433204,CC(C)(C)C1N=C(N)N=C(N)N1c1ccc(Cl)cc1,5.415895029600547,3838.0,5.415895029600547,3838.0,nM,Plasmodium falciparum K1
CHEMBL92182,Cc1ccc(N2C(N)=NC(N)=NC2C)cc1,7.638272163982407,23.0,7.638272163982407,23.0,nM,Plasmodium falciparum K1
CHEMBL89959,CCC1N=C(N)N=C(N)N1c1ccc(C)cc1,8.229147988357855,5.9,8.229147988357855,5.9,nM,Plasmodium falciparum K1
CHEMBL90292,CCCCC1N=C(N)N=C(N)N1c1ccc(Cl)cc1,8.431798275933005,3.7,8.431798275933005,3.7,nM,Plasmodium falciparum K1
CHEMBL93153,CC1N=C(N)N=C(N)N1c1ccc(Cl)c(Cl)c1,8.853871964321762,1.4,8.853871964321762,1.4,nM,Plasmodium falciparum K1
CHEMBL94281,CC(C)C1N=C(N)N=C(N)N1c1ccc(Br)cc1,7.522878745280337,30.0,7.522878745280337,30.0,nM,Plasmodium falciparum K1
CHEMBL93001,NC1=NCN(c2ccc(F)cc2)C(N)=N1,6.747146969020107,179.0,6.568636235841012,270.0,nM,Plasmodium falciparum K1
CHEMBL90703,CCCC1N=C(N)N=C(N)N1c1ccc(Cl)cc1,8.337242168318426,4.6,8.337242168318426,4.6,nM,Plasmodium falciparum K1
CHEMBL90358,Cc1ccc(N2C(N)=NC(N)=NC2C(C)C)cc1,6.777283528852417,167.0,6.777283528852417,167.0,nM,Plasmodium falciparum K1
CHEMBL93484,CC1N=C(N)N=C(N)N1c1ccc(Cl)cc1,8.387216143280265,4.1,8.387216143280265,4.1,nM,Plasmodium falciparum K1
CHEMBL93974,NC1=NC(c2ccccc2)N(c2ccc(Cl)c(Cl)c2)C(N)=N1,8.795880017344075,1.6,8.795880017344075,1.6,nM,Plasmodium falciparum K1
CHEMBL92583,CC1(C)N=C(N)N=C(N)N1c1ccc(Cl)c(Cl)c1,8.958607314841775,1.1,8.958607314841775,1.1,nM,Plasmodium falciparum K1
CHEMBL93893,NC1=NC(c2ccccc2)N(c2ccc(Br)cc2)C(N)=N1,8.537602002101044,2.9,8.537602002101044,2.9,nM,Plasmodium falciparum K1
CHEMBL6742,CC1(C)N=C(N)N=C(N)N1c1ccccc1,7.096910013008056,80.0,7.698970004336019,20.0,nM,Plasmodium falciparum K1
CHEMBL13636,CC1N=C(N)N=C(N)N1c1cccc(Cl)c1,7.991399828238082,10.2,7.991399828238082,10.2,nM,Plasmodium falciparum K1
CHEMBL7005,CC1(C)N=C(N)N=C(N)N1c1ccc(F)cc1,7.0589857562944305,87.3,8.337242168318426,4.6,nM,Plasmodium falciparum K1
CHEMBL6741,CC1(C)N=C(N)N=C(N)N1c1ccc(Br)cc1,8.939302159646388,1.15,8.958607314841775,1.1,nM,Plasmodium falciparum K1
CHEMBL93889,NC1=NC(c2ccccc2)N(c2ccc(Cl)cc2)C(N)=N1,8.346787486224656,4.5,8.346787486224656,4.5,nM,Plasmodium falciparum K1
CHEMBL443013,CCCC1N=C(N)N=C(N)N1c1ccc(C)cc1,7.863279432843593,13.7,7.863279432843593,13.7,nM,Plasmodium falciparum K1
CHEMBL92846,NC1=NCN(c2ccccc2)C(N)=N1,6.684029654543082,207.0,6.482804102050025,329.0,nM,Plasmodium falciparum K1
CHEMBL90018,NC1=NCN(c2ccc(Cl)cc2)C(N)=N1,7.898940645091884,12.62,7.61261017366127,24.4,nM,Plasmodium falciparum K1
CHEMBL93888,CCCC1N=C(N)N=C(N)N1c1ccc(Br)cc1,8.585026652029182,2.6,8.585026652029182,2.6,nM,Plasmodium falciparum K1
