molecule_chembl_id,smiles,pKi_mean_value,mean_Ki_value,pKi_first_value,first_Ki_value,pKi_last_value,last_Ki_value,target_organism
CHEMBL19633,COc1ccc(Cc2cnc(N)nc2N)cc1OC,5.378016660059915,4187.775,7.939302159646388,11.5,4.858299443002609,13858.0,Plasmodium falciparum K1
CHEMBL22327,COc1cc(Cc2cnc(N)nc2N)ccc1OCCCc1ccccc1,6.207448231442838,620.2285714285714,8.744727494896694,1.8,7.354577730650908,44.2,Plasmodium falciparum K1
CHEMBL119568,Nc1ncc(Cc2ccc(OCCCOc3ccccc3)cc2)c(N)n1,6.138465589140962,727.0,8.187086643357144,6.5,5.64569943765464,2261.0,Plasmodium falciparum K1
CHEMBL119669,CCCCCOc1cc(Cc2cnc(N)nc2N)ccc1OC,6.6811543871639385,208.375,8.657577319177793,2.2,6.352421445787545,444.2,Plasmodium falciparum K1
CHEMBL22146,COc1cc(Cc2cnc(N)nc2N)ccc1OCc1ccccc1,6.2997290626435625,501.5,8.657577319177793,2.2,7.2168113089247425,60.7,Plasmodium falciparum K1
CHEMBL22811,COc1cc(Cc2cnc(N)nc2N)ccc1OCc1cc(OC)c(OC)c(OC)c1,7.551956556563326,28.057142857142857,9.221848749616356,0.6,8.060480747381382,8.7,Plasmodium falciparum K1
CHEMBL22901,CCOc1cc(Cc2cnc(N)nc2N)ccc1OCc1cc(OC)c(OC)c(OC)c1,7.666696698480502,21.542857142857144,9.522878745280337,0.3,8.657577319177793,2.2,Plasmodium falciparum K1
CHEMBL120123,COc1cc(Cc2c(C)nc(N)nc2N)ccc1OCc1ccccc1,7.19962664510865,63.150000000000006,8.468521082957745,3.4,7.029653123769907,93.4,Plasmodium falciparum K1
CHEMBL118870,CCCCCOc1ccc(Cc2cnc(N)nc2N)cc1,6.3979400086720375,400.0,8.065501548756432,8.6,6.038768802955337,914.6,Plasmodium falciparum K1
CHEMBL419231,CCCOc1cc(Cc2cnc(N)nc2N)ccc1OC,6.553657035175222,279.475,8.744727494896694,1.8,6.036401037402759,919.6,Plasmodium falciparum K1
CHEMBL332013,CCOc1ccc(Cc2cnc(N)nc2N)cc1OC,5.409980626888151,3890.625,7.8124792791635365,15.4,4.927459689227899,11817.9,Plasmodium falciparum K1
CHEMBL279948,Cc1nc(N)nc(N)c1Cc1ccc(OCc2ccccc2)c(OCc2ccccc2)c1,7.0363470676646624,91.97142857142856,8.065501548756432,8.6,7.096910013008056,80.0,Plasmodium falciparum K1
CHEMBL115483,COc1cc(Cc2cnc(N)nc2N)ccc1OCCCOc1ccccc1,6.64694976035741,225.45,8.698970004336019,2.0,6.217670731003163,605.8,Plasmodium falciparum K1
CHEMBL36,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,6.959362502880977,109.80888888888889,8.823908740944319,1.5,9.060480747381382,0.87,Plasmodium falciparum K1
CHEMBL21395,CCOc1cc(Cc2cnc(N)nc2N)ccc1OCc1ccccc1,6.8324295061179265,147.08571428571426,9.096910013008056,0.8,8.013228265733755,9.7,Plasmodium falciparum K1
CHEMBL7004,Cc1ccc(N2C(N)=NC(N)=NC2(C)C)cc1,6.276434878750045,529.1333333333333,8.744727494896694,1.8,8.795880017344075,1.6,Plasmodium falciparum K1
CHEMBL433204,CC(C)(C)C1N=C(N)N=C(N)N1c1ccc(Cl)cc1,4.36371776519574,43279.5,5.415895029600547,3838.0,4.082384224106796,82721.0,Plasmodium falciparum K1
CHEMBL92182,Cc1ccc(N2C(N)=NC(N)=NC2C)cc1,6.982966660701219,104.0,7.638272163982407,23.0,6.732828271596986,185.0,Plasmodium falciparum K1
CHEMBL89959,CCC1N=C(N)N=C(N)N1c1ccc(C)cc1,7.174249418651972,66.95,8.229147988357855,5.9,6.892790030352131,128.0,Plasmodium falciparum K1
CHEMBL90292,CCCCC1N=C(N)N=C(N)N1c1ccc(Cl)cc1,7.068796474549248,85.35,8.431798275933005,3.7,6.777283528852417,167.0,Plasmodium falciparum K1
CHEMBL93153,CC1N=C(N)N=C(N)N1c1ccc(Cl)c(Cl)c1,8.017728766960431,9.6,8.853871964321762,1.4,7.7495799976911055,17.8,Plasmodium falciparum K1
CHEMBL94281,CC(C)C1N=C(N)N=C(N)N1c1ccc(Br)cc1,6.21289390696343,612.5,7.522878745280337,30.0,5.922632094715843,1195.0,Plasmodium falciparum K1
CHEMBL93001,NC1=NCN(c2ccc(F)cc2)C(N)=N1,6.5596157451671155,275.6666666666667,6.568636235841012,270.0,7.055517327849831,88.0,Plasmodium falciparum K1
CHEMBL90703,CCCC1N=C(N)N=C(N)N1c1ccc(Cl)cc1,7.253365801062421,55.8,8.337242168318426,4.6,6.97061622231479,107.0,Plasmodium falciparum K1
CHEMBL90358,Cc1ccc(N2C(N)=NC(N)=NC2C(C)C)cc1,6.089642442727122,813.5,6.777283528852417,167.0,5.835647144215563,1460.0,Plasmodium falciparum K1
CHEMBL93484,CC1N=C(N)N=C(N)N1c1ccc(Cl)cc1,6.201132409462645,629.3142857142857,8.387216143280265,4.1,6.896196279044043,127.0,Plasmodium falciparum K1
CHEMBL93974,NC1=NC(c2ccccc2)N(c2ccc(Cl)c(Cl)c2)C(N)=N1,8.200659450546418,6.3,8.795880017344075,1.6,7.958607314841775,11.0,Plasmodium falciparum K1
CHEMBL92583,CC1(C)N=C(N)N=C(N)N1c1ccc(Cl)c(Cl)c1,7.3535962737769305,44.29999999999999,8.958607314841775,1.1,8.958607314841775,1.1,Plasmodium falciparum K1
CHEMBL93893,NC1=NC(c2ccccc2)N(c2ccc(Br)cc2)C(N)=N1,7.333014281670339,46.45,8.537602002101044,2.9,7.045757490560675,90.0,Plasmodium falciparum K1
CHEMBL6742,CC1(C)N=C(N)N=C(N)N1c1ccccc1,6.291012874906457,511.6666666666667,7.698970004336019,20.0,6.853871964321762,140.0,Plasmodium falciparum K1
CHEMBL13636,CC1N=C(N)N=C(N)N1c1cccc(Cl)c1,7.74300751450242,18.071428571428573,7.991399828238082,10.2,7.4089353929735005,39.0,Plasmodium falciparum K1
CHEMBL7005,CC1(C)N=C(N)N=C(N)N1c1ccc(F)cc1,6.220018922060499,602.5333333333333,8.337242168318426,4.6,6.769551078621726,170.0,Plasmodium falciparum K1
CHEMBL6741,CC1(C)N=C(N)N=C(N)N1c1ccc(Br)cc1,6.1872425719292465,649.7666666666667,8.958607314841775,1.1,8.920818753952375,1.2,Plasmodium falciparum K1
CHEMBL93889,NC1=NC(c2ccccc2)N(c2ccc(Cl)cc2)C(N)=N1,6.1818401136028145,657.9,8.346787486224656,4.5,7.30715308072277,49.3,Plasmodium falciparum K1
CHEMBL443013,CCCC1N=C(N)N=C(N)N1c1ccc(C)cc1,6.996324097451216,100.85,7.863279432843593,13.7,6.7258421507363195,188.0,Plasmodium falciparum K1
