zinc_id,ortholog_name,gene_name,affinity,chembldocid,title,reference.pubmed_id,reference.doi,reference.chembl_id,reference.journal,reference.year
ZINC000000040057,DRTS_PLAFK,DRTS_PLAFK,7.09,16871,None,11881993,None,CHEMBL1135602,J. Med. Chem.,2002
ZINC000000057464,DRTS_PLAFK,DRTS_PLAFK,9.72,11357,None,1495020,None,CHEMBL1125508,J. Med. Chem.,1992
ZINC000000057464,DRTS_PLAFK,DRTS_PLAFK,9.22,16871,None,11881993,None,CHEMBL1135602,J. Med. Chem.,2002
ZINC000000057464,DRTS_PLAFK,DRTS_PLAFK,9.22,17662,None,14736247,None,CHEMBL1138835,J. Med. Chem.,2004
ZINC000000057464,DRTS_PLAFK,DRTS_PLAFK,9.06,21047,None,15293997,None,CHEMBL1138679,J. Med. Chem.,2004
ZINC000000057464,DRTS_PLAFK,DRTS_PLAFK,8.85,17071,None,12825927,None,CHEMBL1145823,J. Med. Chem.,2003
ZINC000000057464,DRTS_PLAFK,DRTS_PLAFK,8.82,14888,None,9554869,None,CHEMBL1131602,J. Med. Chem.,1998
ZINC000000057464,DRTS_PLAFK,DRTS_PLAFK,8.82,17071,None,12825927,None,CHEMBL1145823,J. Med. Chem.,2003
ZINC000000057464,DRTS_PLAFK,DRTS_PLAFK,6.95,17662,None,14736247,None,CHEMBL1138835,J. Med. Chem.,2004
ZINC000000057464,DRTS_PLAFK,DRTS_PLAFK,8.70,11357,None,1495020,None,CHEMBL1125508,J. Med. Chem.,1992
ZINC000000057464,DRTS_PLAFK,DRTS_PLAFK,7.54,16871,None,11881993,None,CHEMBL1135602,J. Med. Chem.,2002
ZINC000000057464,DRTS_PLAFK,DRTS_PLAFK,8.44,17071,None,12825927,None,CHEMBL1145823,J. Med. Chem.,2003
ZINC000000057464,DRTS_PLAFK,DRTS_PLAFK,6.42,17071,None,12825927,None,CHEMBL1145823,J. Med. Chem.,2003
ZINC000000057464,DRTS_PLAFK,DRTS_PLAFK,6.41,17662,None,14736247,None,CHEMBL1138835,J. Med. Chem.,2004
ZINC000000057464,DRTS_PLAFK,DRTS_PLAFK,7.27,16871,None,11881993,None,CHEMBL1135602,J. Med. Chem.,2002
ZINC000000057464,DRTS_PLAFK,DRTS_PLAFK,8.22,17071,None,12825927,None,CHEMBL1145823,J. Med. Chem.,2003
ZINC000000057464,DRTS_PLAFK,DRTS_PLAFK,7.17,17662,None,14736247,None,CHEMBL1138835,J. Med. Chem.,2004
ZINC000000057464,DRTS_PLAFK,DRTS_PLAFK,7.14,14888,None,9554869,None,CHEMBL1131602,J. Med. Chem.,1998
ZINC000000057464,DRTS_PLAFK,DRTS_PLAFK,7.10,17662,None,14736247,None,CHEMBL1138835,J. Med. Chem.,2004
ZINC000000057464,DRTS_PLAFK,DRTS_PLAFK,7.10,31502,None,16750361,None,CHEMBL1145311,Bioorg. Med. Chem. Lett.,2006
ZINC000000057464,DRTS_PLAFK,DRTS_PLAFK,6.07,17071,None,12825927,None,CHEMBL1145823,J. Med. Chem.,2003
