,zinc_id,smiles,first_affinity,mean_affinity,chembldocid,reference.pubmed_id,reference.chembl_id,reference.year
168,ZINC000013809241,NC1=NCN(c2ccccc2)C(N)=N1,6.48,6.593333333333334,15522,10893311,CHEMBL1133696,2000
169,ZINC000013809243,NC1=NCN(c2ccc(F)cc2)C(N)=N1,6.57,6.653333333333333,15522,10893311,CHEMBL1133696,2000
170,ZINC000013858385,CNC(=S)NNC(=O)c1cccn(Cc2cccc(Cl)c2)c1=O,5.74,5.5425,17071,12825927,CHEMBL1145823,2003
171,ZINC000016981849,CC1(C)N=C(N)N=C(N)N1c1ccccc1,5.86,6.803333333333334,15522,10893311,CHEMBL1133696,2000
172,ZINC000017039796,NC1=N[C@H](c2ccccc2)N(c2ccc(Cl)cc2)C(N)=N1,5.73,7.0528571428571425,17662,14736247,CHEMBL1138835,2004
173,ZINC000017040301,NC1=N[C@H](c2ccccc2)N(c2cccc(Cl)c2)C(N)=N1,8.0,7.024615384615384,15522,10893311,CHEMBL1133696,2000
174,ZINC000017040529,Cc1ccc(N2C(N)=NC(N)=NC2(C)C)cc1,8.8,7.78,21047,15293997,CHEMBL1138679,2004
175,ZINC000017126763,CC1(C)N=C(N)N=C(N)N1c1ccc(F)cc1,5.79,6.966666666666666,15522,10893311,CHEMBL1133696,2000
176,ZINC000017353521,C[C@@H]1N=C(N)N=C(N)N1c1ccc(Cl)c(Cl)c1,8.85,8.3,15522,10893311,CHEMBL1133696,2000
177,ZINC000017949002,N/C(S)=N/N=C/c1ccccc1,5.05,5.05,17071,12825927,CHEMBL1145823,2003
178,ZINC000027732635,NC1=N[C@@H](c2cccc(OCCCOc3cc(Cl)c(Cl)cc3Cl)c2)N(c2cccc(Cl)c2)C(N)=N1,8.7,6.874545454545455,17662,14736247,CHEMBL1138835,2004
179,ZINC000027732640,NC1=N[C@H](c2cccc(OCCCOc3cc(Cl)c(Cl)cc3Cl)c2)N(c2cccc(Cl)c2)C(N)=N1,8.7,6.874545454545455,17662,14736247,CHEMBL1138835,2004
180,ZINC000034801983,CCCCCCCOc1ccc(Cc2cnc(N)nc2N)cc1,5.86,6.495,17636,14711307,CHEMBL1148379,2004
181,ZINC000034801984,CCCCCCCOc1cc(Cc2cnc(N)nc2N)ccc1OC,6.99,7.095000000000001,17636,14711307,CHEMBL1148379,2004
182,ZINC000034801985,CCCCCCC[C@@H]1N=C(N)N=C(N)N1c1cccc(Cl)c1,9.52,7.811818181818182,17662,14736247,CHEMBL1138835,2004
183,ZINC000034801986,CCCCCCC[C@H]1N=C(N)N=C(N)N1c1cccc(Cl)c1,9.52,7.811818181818182,17662,14736247,CHEMBL1138835,2004
184,ZINC000095600434,NC(=O)c1ccc[n+]([C@H]2O[C@@H](CO[P@@](=O)(O)O[P@@](=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@H](O)[C@@H]2O)c1,7.84,8.085,14888,9554869,CHEMBL1131602,1998
