,zinc_id,smiles,first_affinity,mean_affinity,chembldocid,reference.pubmed_id,reference.chembl_id,reference.year
41,ZINC000013284968,Cc1nc(N)nc(N)c1-c1ccccc1,7.96,7.4875,16871,11881993,CHEMBL1135602,2002
42,ZINC000013468996,COC(=O)c1sccc1-c1ccc(/C(C)=N/NC(N)=O)o1,5.38,5.17,17071,12825927,CHEMBL1145823,2003
43,ZINC000013469871,C/C(=N\N=C(/N)S)c1ccc(Oc2c(Cl)cncc2Cl)cc1,6.0,5.967142857142856,17071,12825927,CHEMBL1145823,2003
44,ZINC000013472712,CCc1nc(N)nc(N)c1-c1ccc(C)cc1,9.4,8.16625,16871,11881993,CHEMBL1135602,2002
45,ZINC000013472713,CCc1nc(N)nc(N)c1-c1ccc(C(C)(C)C)cc1,9.22,7.564,16871,11881993,CHEMBL1135602,2002
46,ZINC000013472714,CCc1nc(N)nc(N)c1-c1ccc(-c2ccccc2)cc1,6.73,6.332,16871,11881993,CHEMBL1135602,2002
47,ZINC000013472715,CCc1nc(N)nc(N)c1-c1ccc(OC)cc1,9.05,8.105,16871,11881993,CHEMBL1135602,2002
48,ZINC000013472716,CCc1nc(N)nc(N)c1-c1cccc(Cl)c1,9.52,7.7441176470588236,14888,9554869,CHEMBL1131602,1998
49,ZINC000013472717,CCc1nc(N)nc(N)c1-c1ccc2c(c1)OCO2,8.96,7.73125,16871,11881993,CHEMBL1135602,2002
50,ZINC000013472718,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1Cl,9.04,7.2025,21047,15293997,CHEMBL1138679,2004
51,ZINC000013472719,CCc1nc(N)nc(N)c1-c1ccc(OCc2ccc(Cl)cc2Cl)c(OC)c1,9.0,8.0175,16871,11881993,CHEMBL1135602,2002
52,ZINC000013472720,CCOc1c(Br)cc(-c2c(N)nc(N)nc2CC)cc1Br,7.43,7.0575,21047,15293997,CHEMBL1138679,2004
53,ZINC000013472721,Nc1ncc(-c2ccc(Cl)cc2)c(N)n1,9.13,7.609999999999999,21047,15293997,CHEMBL1138679,2004
54,ZINC000013472722,COC(=O)CCCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,9.85,8.12875,21047,15293997,CHEMBL1138679,2004
55,ZINC000013472723,Nc1nc(N)c(-c2ccc(Cl)cc2)c(CCCc2ccccc2)n1,9.15,8.088750000000001,16871,11881993,CHEMBL1135602,2002
56,ZINC000013472724,COC(=O)CCCc1nc(N)nc(N)c1-c1ccccc1,9.22,8.42,16871,11881993,CHEMBL1135602,2002
57,ZINC000013472725,CCCCCCc1nc(N)nc(N)c1-c1ccccc1,9.52,7.843846153846154,16871,11881993,CHEMBL1135602,2002
58,ZINC000013472726,Nc1nc(N)c(-c2ccccc2)c(CCCc2ccccc2)n1,9.3,7.74909090909091,16871,11881993,CHEMBL1135602,2002
59,ZINC000013472727,Nc1ncc(-c2cccc(Cl)c2)c(N)n1,7.58,7.0920000000000005,16871,11881993,CHEMBL1135602,2002
60,ZINC000013472728,Cc1nc(N)nc(N)c1-c1cccc(Cl)c1,8.72,7.876666666666667,16871,11881993,CHEMBL1135602,2002
61,ZINC000013472729,COC(=O)CCCc1nc(N)nc(N)c1-c1cccc(Cl)c1,9.3,8.905714285714286,16871,11881993,CHEMBL1135602,2002
62,ZINC000013472730,Nc1nc(N)c(-c2cccc(Cl)c2)c(CCCc2ccccc2)n1,8.92,7.2683333333333335,16871,11881993,CHEMBL1135602,2002
63,ZINC000013472731,COc1ccc(CCCc2nc(N)nc(N)c2-c2cccc(Cl)c2)cc1,8.89,7.406923076923078,17662,14736247,CHEMBL1138835,2004
64,ZINC000013472732,Nc1nc(N)c(-c2cccc(Cl)c2)c(CCOCCCOc2ccccc2)n1,9.4,7.625384615384615,16871,11881993,CHEMBL1135602,2002
65,ZINC000013472733,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OCc1ccccc1,8.38,7.576666666666667,16871,11881993,CHEMBL1135602,2002
66,ZINC000013472734,CCOc1cc(Cc2cnc(N)nc2N)ccc1OCc1ccccc1,9.1,7.493636363636364,17636,14711307,CHEMBL1148379,2004
67,ZINC000013472735,Nc1ncc(Cc2ccc(OCc3ccccc3)c(OCc3ccccc3)c2)c(N)n1,8.77,6.815714285714286,16871,11881993,CHEMBL1135602,2002
68,ZINC000013472736,Cc1nc(N)nc(N)c1Cc1ccc(OCc2ccccc2)c(OCc2ccccc2)c1,6.76,6.70375,17636,14711307,CHEMBL1148379,2004
69,ZINC000013472737,CCc1nc(N)nc(N)c1Cc1ccc(OCc2ccccc2)c(OCc2ccccc2)c1,7.7,6.674666666666667,17636,14711307,CHEMBL1148379,2004
70,ZINC000013472738,COc1cc(COc2cc(Cc3cnc(N)nc3N)ccc2OCc2ccccc2)cc(OC)c1OC,7.92,6.989999999999999,16871,11881993,CHEMBL1135602,2002
71,ZINC000013472739,COc1cc(COc2ccc(Cc3cnc(N)nc3N)cc2)cc(OC)c1OC,8.89,7.495833333333334,16871,11881993,CHEMBL1135602,2002
72,ZINC000013472740,COc1cc(Cc2cnc(N)nc2N)ccc1OCc1cc(OC)c(OC)c(OC)c1,9.22,7.598333333333334,16871,11881993,CHEMBL1135602,2002
