molecule_chembl_id,smiles,pKi_mean_value,mean_Ki_value,target_organism
CHEMBL4105317,NC1=NC2(CCCCC2)N(c2cccc(C(F)(F)F)c2)C(N)=N1,4.8804142250382165,13170.0,Homo sapiens
CHEMBL2382332,CC(C)c1ccc(N(C)c2cnc3nc(N)nc(N)c3c2)cc1,7.958607314841775,11.0,Homo sapiens
CHEMBL4167391,Cc1ccc(C(=O)N2CCC3(CC2)N=C(N)N=C(N)N3c2cccc(Cl)c2)cc1,6.1938200260161125,640.0,Homo sapiens
CHEMBL4170787,NC1=NC2(CCN(C(=O)Nc3ccc(F)cc3)CC2)N(c2cccc(Cl)c2)C(N)=N1,6.275724130399211,530.0,Homo sapiens
CHEMBL4169854,CCS(=O)(=O)N1CCC2(CC1)N=C(N)N=C(N)N2CCOC,5.853871964321762,1400.0,Homo sapiens
CHEMBL4453575,O=C(OC[C@@H]1CO1)c1cccc2c(=O)c3ccccc3[nH]c12,7.036212172654444,92.0,Homo sapiens
CHEMBL4458303,O=c1c2ccccc2n(CC2CO2)c2ccccc12,5.795880017344075,1600.0,Homo sapiens
CHEMBL504816,Cn1cc(C[C@H](N)C(=O)O)c2ccccc21,3.0915149811213505,810000.0,Homo sapiens
CHEMBL54976,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,2.5528419686577806,2800000.0,Homo sapiens
CHEMBL292303,N[C@H](Cc1c[nH]c2ccccc12)C(=O)O,3.0555173278498318,880000.0,Homo sapiens
CHEMBL686,Cc1cccc(Nc2ccccc2C(=O)O)c1C,4.142667503568732,72000.0,Homo sapiens
CHEMBL461,O=C(O)CNC(=O)c1ccccc1,1.769551078621726,17000000.0,Homo sapiens
CHEMBL622,CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)O)OCC3,2.7447274948966935,1800000.0,Homo sapiens
CHEMBL121772,O=C(O)c1cc(-c2ccccc2)ccc1O,4.318758762624412,48000.0,Homo sapiens
CHEMBL898,O=C(O)c1cc(-c2ccc(F)cc2F)ccc1O,4.468521082957745,34000.0,Homo sapiens
CHEMBL139,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,3.795880017344075,160000.0,Homo sapiens
CHEMBL277522,O=C(O)CCC(=O)c1ccc(-c2ccccc2)cc1,3.443697499232713,360000.0,Homo sapiens
CHEMBL521,CC(C)Cc1ccc(C(C)C(=O)O)cc1,3.2518119729937993,560000.0,Homo sapiens
CHEMBL154,COc1ccc2cc([C@H](C)C(=O)O)ccc2c1,2.154901959985743,7000000.0,Homo sapiens
CHEMBL1618254,COc1ccc2cc([C@@H](C)C(=O)O)ccc2c1,2.4685210829577446,3400000.0,Homo sapiens
CHEMBL3278332,Nc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,3.7447274948966935,180000.0,Homo sapiens
CHEMBL1233987,Nc1ccnc(N)n1,3.7447274948966935,180000.0,Homo sapiens
CHEMBL170988,N=C(N)NC(=N)NCCc1ccccc1,3.853871964321762,140000.0,Homo sapiens
CHEMBL1431,CN(C)C(=N)NC(=N)N,1.7447274948966935,18000000.0,Homo sapiens
