smiles	nubbe_id
O[C@@H]1CC[C@@]2([C@@H](C1(C)C)CC=C1[C@H]2CC[C@@]2([C@@]1(C)CC[C@H]2[C@H](CC/C=C(\OC=O)/C)C)C)C	NuBBE_1041
O=C1CC[C@]2(C)[C@H](CC=C3[C@H]2CC[C@]2(C)[C@@]3(CC[C@H]2[C@@H](C)CC/C=C(/C)\OC(=O)C)C)C1(C)C	NuBBE_1042
C[C@]12C3=CC[C@H]4[C@]([C@H]3CC[C@@]1(C)[C@@H](CC2)[C@H](CC/C=C(\C(=O)O)/C)C)(C)CC/C(=N\O)/C4(C)C	NuBBE_1043
C[C@]12C3=CC[C@H]4[C@]([C@H]3CC[C@@]1(C)[C@@H](CC2)[C@H](CC/C=C(\C(=O)OC)/C)C)(C)CC/C(=N\O)/C4(C)C	NuBBE_1044
O=c1c2ccccc2oc(c2ccccc2)c1	NuBBE_1045
O=c1c2ccc(cc2oc(c2ccccc2)c1)OC	NuBBE_1046
CC(O)([C@@H]1CC[C@]([C@H]2CC[C@@]3([C@]4(CC[C@@H]5C(C)([C@H](CC[C@@]5([C@H]4CC[C@H]23)C)O)C)C)C)(C)O1)C	NuBBE_1047
O=C1CC[C@@]2([C@@H](C1(C)C)CC[C@]1([C@H]2CC[C@H]2[C@]1(C)CC[C@@H]2[C@]1(O[C@H](CC1)C(O)(C)C)C)C)C	NuBBE_1048
C[C@]12[C@@H]3C(=CC[C@H]1C(C)([C@@H](CC2)O)C)[C@]1([C@](C)([C@H]([C@@H](C)[C@H]2[C@H](O)[C@@H](O)C(C)(C)O2)CC1)CC3)C	NuBBE_1049
C=C[C@@H]1[C@@H](OC=C([C@@H]1Cc1nc(C(=O)O)cc2c1[nH]c1ccccc21)C(=O)OC)O[C@@H]1O[C@@H]([C@H]([C@H](O)[C@H]1O)O)CO	NuBBE_104
C[C@]12[C@@H]3C(=CC[C@H]1C(C)([C@@H](CC2)O)C)[C@]1([C@](C)([C@H]([C@@H](C)[C@H](O)C(=O)C=C(C)C)CC1)CC3)C	NuBBE_1050
C[C@]12C3=CC[C@@H]4C(C)(C)C(=O)CC[C@]4(C)[C@H]3CC[C@@]1(C)[C@H]([C@H](C)[C@@H](O)C(=O)C=C(C)C)CC2	NuBBE_1051
C[C@]12C3=CC[C@@H]4C(C)(C)[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]1(C)[C@H]([C@H](C)[C@@H]1[C@@H]3OC(C)(C)O[C@@H]3C(C)(C)O1)CC2	NuBBE_1052
O=C1C=C[C@]2(C)[C@H](CC(=O)[C@@]3(C)[C@H]2CC[C@]2(C)[C@]43O[C@@H]4C(=O)O[C@H]2c2cocc2)C1(C)C	NuBBE_1053
O=C1CC2=C3C[C@H]4C(=O)[C@@]([C@H]3CC[C@]2(C)[C@@H](O1)c1cocc1)([C@H](C(C)(C4=O)C)CC(=O)OC)C	NuBBE_1054
CC1(C)[C@H](CC(=O)OC)[C@]2(C)[C@@]3([C@](C)(OC2=CC1=O)C1=CC(=O)O[C@H]([C@@]1(CC3)C)c1cocc1)O	NuBBE_1055
CC1([C@@H]([C@@]2([C@@]34[C@@](OC2=CC1=O)(C)[C@]14[C@](C[C@@H]3O)(C)[C@@H](OC(=O)[C@@H]1O)c1cocc1)C)CC(=O)OC)C	NuBBE_1056
O=C1[C@@H]2[C@]3([C@](C)([C@@H](O1)c1cocc1)CC[C@@H]1[C@@]3([C@@H](C[C@H]([C@@]31[C@@H](OC(=O)C)CC(=O)OC3)C(O)(C)C)O)C)O2	NuBBE_1057
O=c1ccc2c(o1)c(c1c(c2Cl)cco1)OC	NuBBE_1058
C[C@@]12[C@@H](CC[C@@H]1[C@@H](/C=C/[C@H](C(C)C)CC)C)[C@H]1[C@H]([C@@]3([C@@H](CC(=O)CC3)CC1)C)CC2	NuBBE_1059
OC(=O)c1cc2c(c(C)n1)[nH]c1ccccc21	NuBBE_105
C[C@@]12[C@@H]3[C@]4(C)[C@H](OC(=O)C[C@@H]4[C@](C(=O)[C@@H]4COC(=O)C4)(C)C[C@H]3OC(=O)C)C[C@H]1[C@@H](C[C@H](O)C2=O)C	NuBBE_1060
CC1(C)[C@@H](O)CC[C@@]2(C)[C@H]1CC[C@@]1([C@@]3(CC[C@]4(C)[C@H]([C@@H](C)[C@H](C)CC4)C3=CC(=O)[C@H]21)C)C	NuBBE_1061
CC1(C)[C@@H](O)CC[C@@]2(C)[C@H]1CC[C@@]1([C@@]3(CC[C@]4(C)[C@H](CC(C)(C)CC4)C3=CC(=O)[C@H]21)C)C	NuBBE_1062
O[C@H]1CC[C@]2(C)[C@H](CC[C@@]3([C@]4(C)[C@H]([C@@H]5[C@@](CC[C@@H](C)[C@@H]5C)(C)CC4)C(=O)C[C@@H]23)C)C1(C)C	NuBBE_1063
O[C@H]1CC[C@]2(C)[C@H](CC[C@@]3(C)[C@H]2C[C@@H]2O[C@@]42[C@]3(C)CC[C@]2(C)[C@@H]4CC(C)(C)CC2)C1(C)C	NuBBE_1064
Oc1c(OC)cc2nc3occc3c(OC)c2c1	NuBBE_1065
O=c1c2ccccc2nc2-c3c(CCn12)c1c([nH]3)cccc1	NuBBE_1066
Oc1c2c(ccc1)c(=O)n1c(-c3c(CC1)c1c([nH]3)cccc1)n2	NuBBE_1067
COc1c(OC)c2occc2c2c1ccc(=O)o2	NuBBE_1068
O=c1oc2c(OC)c3c(cco3)cc2cc1	NuBBE_1069
[C@H]12[C@H]([C@@H](OC=C1C(=O)OC)O[C@@H]1O[C@@H]([C@H]([C@H](O)[C@H]1O)O)CO)[C@H]([C@H](C2)O)C	NuBBE_106
COc1cc2nc3-c4c(CCn3c(=O)c2cc1OC)c1c([nH]4)ccc(c1)OC	NuBBE_1070
C[C@]12C3=CC[C@@H]4[C@](C)(CCC(=O)C4(C)C)[C@H]3CC[C@]1([C@H]([C@@H](C=O)CCC=C(C)C)CC2)C	NuBBE_1071
O[C@H]1CC[C@]2(C)[C@H](CC[C@@]3(C)[C@H]2CC[C@@H]2[C@]3(C)CC[C@@]3(C)[C@@H]2[C@H](C(C)(O)C)CC3)C1(C)C	NuBBE_1072
C(CCc1c(O)cc(cc1)OC)c1cc2c(cc1)OCO2	NuBBE_1073
Cn1c2c(c(=O)c3c1c(ccc3)O)c(O)cc(O)c2CC=C(C)C	NuBBE_1074
Cn1c2c(c(=O)c3c1c(ccc3)O)c(O)cc(O)c2OC	NuBBE_1075
Cn1c2c(c(=O)c3c1c(ccc3)O)c(O)cc(OC)c2OC	NuBBE_1076
Cn1c2c(c(=O)c3c1c(ccc3)O)c(O)c(OC)c(OC)c2OC	NuBBE_1077
O=c1c2c(c3c(OC(C)(C)C=C3)cc2O)n(C)c2c(O)cccc12	NuBBE_1078
O=c1c2c(c(OC)c3OC(C)(C)C=Cc3c2O)n(C)c2c(O)cccc12	NuBBE_1079
C=C[C@@H]1[C@@H](C(=CO[C@H]1O[C@@H]1O[C@@H]([C@H]([C@H](O)[C@H]1O)O)CO)C(=O)OC)CC(=O)O	NuBBE_107
O=c1c2c(n(c3c(cccc13)O)C)c(OC)c1O[C@@H](Cc1c2O)C(O)(C)C	NuBBE_1080
O=c1c2c(n(c3c(cccc13)O)C)c(OC)c(c1c2OC(C)([C@H](C1)O)C)O	NuBBE_1081
O[C@@H]([C@H](c1c(OC)ccc(CCC(=O)O)c1O)O)C(C)(C)O	NuBBE_1082
C[C@H]1[C@]23[C@@H]([C@H]2C(=CC3)C)[C@@H](CC1)C(C)C	NuBBE_1083
C[C@@H](CCCC(C)C)CCc1c(O)c(CCC(C)C)cc(C(=O)O)c1	NuBBE_1084
CC(=C[C@H]1C[C@@](/C=C\c2cc3[nH]ccc3cc2)(C)c2cc3c(cc[nH]3)cc12)C	NuBBE_1085
[nH]1c2ccc([C@H]3[C@H](CC=C(C)C)C(=C)CO3)cc2cc1	NuBBE_1086
O=C(OC)c1coc(c2ccc3[nH]ccc3c2)c1	NuBBE_1087
O=C(/C=C/c1ccc(cc1O)OC)OCCCCCCCCCCCCCCC	NuBBE_1088
O=C(O)/C(=C/c1cc(OC)c(OC)cc1)/c1cc(O)c(C(=O)OC)cc1	NuBBE_1089
[C@H]12[C@H]([C@@H](OC=C1C(=O)OC)O[C@@H]1O[C@@H]([C@H]([C@H](O)[C@H]1O)O)CO)[C@@H](OC(=O)C2)C	NuBBE_108
Oc1ccc2-c3c(N([C@@H](c2c1OC)CC(=O)C)C)c1c(cc3)cc2c(c1)OCO2	NuBBE_1090
N(C)c1c(c2oc(=O)cc(c2)OC)cccc1	NuBBE_1091
CC(C)(/C=C/[C@@]1([C@@H](CCc2c(c3c(nc12)occ3)OC)OC(=O)C)OC)O	NuBBE_1092
O=c1c2c(O)c(OC)c(OC)cc2n(C)c2c1cccc2	NuBBE_1093
O=c1c2c(O)cc(OC)cc2n(C)c2c1cccc2	NuBBE_1094
C[C@@]12[C@]34[C@@](C)([C@@H](OC(=O)[C@@H]3O4)c3ccoc3)CC[C@H]1[C@@]1(C)[C@@H](C[C@H]2OC(=O)C)C(C)(C)C(=O)C=C1	NuBBE_1095
C[C@@]12[C@]34[C@@](C)([C@@H](OC(=O)[C@@H]3O4)c3ccoc3)CC[C@H]1[C@@]1(C)[C@@H](C[C@H]2O)C(C)(C)C(=O)C=C1	NuBBE_1096
C[C@@]12[C@@H]3[C@]4(C)[C@H](OC(=O)C[C@@H]4[C@@](C(=O)[C@H]4COC(=O)C4)(C)C[C@H]3OC(=O)C)C[C@@H]1[C@@H](C[C@H](OC(=O)C)C2=O)C	NuBBE_1097
O=C1C=C[C@]2(C)[C@H]([C@@H](OC(=O)C)[C@@H](OC(=O)C)[C@@]3(C)[C@H]2CC[C@]2(C)[C@]43O[C@@H]4C(=O)O[C@H]2c2cocc2)C1(C)C	NuBBE_1098
O=C1C=C[C@]2(C)[C@H]([C@@H](OC(=O)C)[C@@H](OC(=O)C)[C@@]3(C)[C@H]2CC[C@]2(C)[C@]43O[C@@H]4C[C@H]2c2cocc2)C1(C)C	NuBBE_1099
[C@@H]1([C@@H]([C@@H](OC(=O)C)C)[C@@H](OC=C1C(=O)OC)O[C@@H]1O[C@@H]([C@H]([C@H](O)[C@H]1O)O)CO)CC(=O)O	NuBBE_109
Oc1c(C)cc2[C@H](C(C)C)CC[C@@H](C)c2c1	NuBBE_10
O=c1c2c(occ2)n(C)c2c3c(OC(C)(C)C=C3)ccc12	NuBBE_1100
O=c1c2c(occ2)n(C)c2c1ccc(OC)c2OC	NuBBE_1101
O=c1c2c(n(c3c1ccc1c3OCO1)C)occ2	NuBBE_1102
CC1(C)C(=O)C=C[C@@H]([C@H]2[C@H](OC(=O)C)[C@H](OC(=O)C)[C@@]3(C)[C@]4([C@@H](C[C@H]3c3cocc3)O4)C2=C)[C@H]1CC(=O)OC	NuBBE_1103
C[C@@]12C(=CC(=O)O[C@H]1c1cocc1)[C@]1(CC2)[C@]([C@@H](CC(=O)OC)C(C(=O)OC)(C)C)(C)C(=O)C=C1C	NuBBE_1104
O=c1c2c(cccc2)[nH]c(=O)n1CCc1c[nH]c2c1c1c(cc2)OC(C)(C)C=C1	NuBBE_1105
O=c1c2c(cccc2)n(O)c(=O)n1CCc1c[nH]c2c1c1c(cc2)OC(C)(C)C=C1	NuBBE_1106
O=c1c2c(cccc2)n(C)c(=O)n1CCc1c[nH]c2c1c1c(cc2)OC(C)(C)C=C1	NuBBE_1107
C/C(=C\Cc1c(OC)c2c(n(C)c1=O)cccc2)/CC[C@@H](O)C(O)(C)C	NuBBE_1108
CC[C@@H]1C(=O)OC[C@@H]1/C=C\1/N(C)C(=O)NC1=O	NuBBE_1109
O=C(C1=CO[C@H]([C@@H]([C@@H]1CC(=O)OC)[C@H](C)OC(=O)C)O[C@@H]1O[C@@H]([C@H]([C@H](O)[C@H]1O)O)CO)OC	NuBBE_110
O[C@H]1CC[C@]2(C)[C@H](CC[C@@]3(C)[C@@]2(C)CC[C@@H]2[C@]3(C)CC[C@@]3(C)C2=CC(C)(C)CC3)C1(C)C	NuBBE_1110
C(OC(=O)/C=C/c1cc(O)c(cc1)O)[C@@H]1[C@@H](O)[C@H](O)[C@H]([C@H](O1)O)O	NuBBE_1111
C[C@]12C(=CC(=O)[C@H]3[C@@H]2CC[C@@]2(C)[C@H]3CC[C@@H]2[C@H](C)CC[C@@H](CC)C(C)C)C[C@@H](O)CC1	NuBBE_1112
C[C@]12C(=CC(=O)CC2)[C@H](O)C[C@H]2[C@@H]1CC[C@]1(C)[C@H]2CC[C@@H]1[C@H](C)CC[C@@H](CC)C(C)C	NuBBE_1113
C(=O)c1cc(OC)c(O)c(OC)c1	NuBBE_1114
OC(=O)c1cc(OC)c(O)c(OC)c1	NuBBE_1115
O=c1c(C(C)(C)C=C)cc2c(o1)cc(c(c2)OC)O	NuBBE_1116
C=C(C)[C@H]1Cc2c(O1)cc(c1c2oc(=O)cc1)O	NuBBE_1117
COc1c2c(oc(C(C)(O)C)c2)nc2c1cccc2	NuBBE_1118
O=c1ccc2c(o1)cc(c(c2)C=O)OC	NuBBE_1119
O=C(C1=CO[C@H]([C@@H]([C@@H]1CC(=O)O)[C@@H](C)OC(=O)/C(=C/C)/C)O[C@@H]1O[C@@H]([C@H]([C@H](O)[C@H]1O)O)CO)OC	NuBBE_111
C[C@@]12[C@@]3(O[C@@H]3C(=O)O[C@H]2C2=C[C@@H](OC2=O)O)[C@]2([C@@H](C[C@@H]3C(C)(C(=O)C=C[C@]3([C@H]2CC1)C)C)OC(=O)C)C	NuBBE_1120
C[C@]12[C@@H]3C(=CC[C@H]1C(C)([C@@H](CC2)O)C)[C@]1([C@](C)([C@H]([C@@H](C)C[C@@H](O)[C@H](O)C(O)(C)C)CC1)CC3)C	NuBBE_1121
Oc1ccc(c2ccccc12)OC[C@@H](O)CNC(C)C	NuBBE_1126
Oc1ccc(c2ccccc12)OC[C@H](O)CNC(C)C	NuBBE_1127
C[S@](=O)c1ccc2c(c1)N(c1c(S2)cccc1)CC[C@H]1CCCCN1C	NuBBE_1128
CSc1ccc2c(c1)N(c1c([S@@]2=O)cccc1)CC[C@H]1CCCCN1C	NuBBE_1129
O=C(C1=CO[C@H]([C@@H]([C@@H]1CC(=O)O)[C@@H](C)OC(=O)C)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)COC(=O)C)O)O)O)OC	NuBBE_112
C[C@]12C3=CC[C@@H]4[C@](C)(CCC(=O)C4(C)C)[C@H]3CC[C@]1([C@H]([C@@H](C)CCC=C(C)C)CC2)C	NuBBE_1130
C[C@]12[C@H](CC[C@]1([C@@H]1CC[C@H]3C(C)(C(=O)CC[C@]43C[C@@]14CC2)C)C)[C@H](C)CCC(=C)[C@@H](C)CO	NuBBE_1131
COCc1coc(c2ccc3[nH]ccc3c2)c1	NuBBE_1135
OC[C@@]1(/C=C/c2ccc3[nH]ccc3c2)c2cc3c(cc[nH]3)cc2[C@@H](C=C(C)C)C1	NuBBE_1136
C[C@@]1(/C=C/c2c3NCCc3ccc2)c2cc3c(cc[nH]3)cc2[C@@H](C=C(C)C)C1	NuBBE_1137
C[C@@]1(c2cc3cc[nH]c3cc2[C@H](C=C(C)C)C1)/C=C/c1cc2c(cc[nH]2)cc1	NuBBE_1138
CC(=C[C@@H]1C[C@@](c2c1cc1c(cc[nH]1)c2)(CO)/C=C/c1ccc2c(cc[nH]2)c1)C	NuBBE_1139
O=C1C2=CO[C@H](O[C@H]3[C@H](O)[C@H]([C@@H]([C@H](O3)CO)O)O)[C@@H](C=C)[C@H]2CCO1	NuBBE_113
CC(=O)C[C@@H]1c2c(c(OC)ccc2-c2c(N1C)c1c(cc2)cc2c(OCO2)c1)OC	NuBBE_1140
CN1[C@@H](c2cc3c(cc2-c2c1c1c(cc2)cc2c(OCO2)c1)OCO3)CC(=O)C	NuBBE_1141
CC1([C@@H]([C@@]2([C@@H]3CC[C@@]4(C(=CC(=O)O[C@H]4c4cocc4)[C@@H]3C[C@@H]([C@H]1OC(=O)C)C2=O)C)C)CC(=O)OC)C	NuBBE_1142
O=c1ccc2cc3c(occ3)c(OC[C@@H](C(=C)C)O)c2o1	NuBBE_1143
O=C1C[C@@]23[C@@](C)(CC[C@@H]([C@@]4(C)[C@H](O2)CC(=O)C[C@H]4CC(=O)OC)C3=C)[C@H](c2cocc2)O1	NuBBE_1144
C[C@@]12[C@H]([C@@]3(C)[C@@H](C[C@H]1OC(=O)C)C(C)(C)C(=O)C=C3)CC[C@]1(C2=CC[C@H]1[C@@H]1CC(=O)OC1)C	NuBBE_1145
C[C@]12[C@@H]3C(=CC[C@H]1C(C)(C(=O)CC2)C)[C@]1([C@](C)([C@H]([C@@H](C)C[C@@H](O)[C@H](O)C(O)(C)C)CC1)CC3)C	NuBBE_1146
C[C@]12[C@@H]3C(=CC[C@H]1C(C)([C@@H](CC2)O)C)[C@]1([C@](C)([C@H]([C@@H](C)[C@@H](O)[C@@H](O)[C@@H](O)C(O)(C)C)CC1)CC3)C	NuBBE_1147
C[C@]12[C@@H]3C(=CC[C@H]1C(C)(C(=O)CC2)C)[C@]1([C@](C)([C@H]([C@@H](C)C[C@@H](O)[C@@H]2OC2(C)C)CC1)CC3)C	NuBBE_1148
C[C@@]12[C@H](CC[C@@H]3[C@]1(CC[C@@H]3[C@@](C)(O)CCC=C(C)C)C)[C@@]1([C@H](C(C)([C@@H](O)CC1)C)CC2)C	NuBBE_1149
O[C@H]1[C@H]2[C@H]([C@@H](OC=C2C(=O)OC)O[C@@H]2O[C@@H]([C@H]([C@H](O)[C@H]2O)O)CO)C(=C)[C@@H]1O	NuBBE_114
C[C@]12[C@@H]3C(=CC[C@H]1C(C)(C(=O)CC2)C)[C@]1([C@](C)([C@H]([C@@H](C)[C@@H]2OC(C)(C)[C@H]([C@H]2O)O)CC1)CC3)C	NuBBE_1150
C[C@@H]([C@H]1CC[C@]2(C)[C@H]3CC[C@@H]4C(C)(C(=O)CC[C@]54C[C@@]35CC[C@]12C)C)CCC(=C)[C@@H](C)COC(=O)C	NuBBE_1151
O=C(CCCCCCCCc1ccccc1)OC	NuBBE_1152
O=C(OC)CCCCCCCCCc1ccccc1	NuBBE_1153
O=C(OC)CCCCCCCCCCc1ccccc1	NuBBE_1154
O=C(OC)CCCCCCCCCCCc1ccccc1	NuBBE_1155
O=C(OC)CCCCCCCCCCCCc1ccccc1	NuBBE_1156
O=C(OC)CCCCCCCCCCCCCc1ccccc1	NuBBE_1157
C[C@@]12[C@]34[C@H](C(=O)O[C@@H](C5=C[C@H](O)OC5=O)[C@]3(CC[C@@H]1[C@]13[C@@H](C(C)(C)O[C@@H]1CC(=O)OC3)CC2=O)C)O4	NuBBE_1158
O=c1cc(c2ccccc2)n(C)c2c1cccc2	NuBBE_1159
C[C@]12[C@@H](C(C)([C@H](CC1)O[C@@H]1O[C@@H]([C@H]([C@@H]([C@H]1O[C@@H]1O[C@@H]([C@H]([C@@H]([C@H]1O[C@@H]1O[C@H]([C@@H]([C@H]([C@H]1O)O)O)C)O)O)CO)O)O)CO)C)CC[C@]1([C@H]2CC=C2[C@]1(CC[C@]1([C@@H]2[C@@](O)([C@@H](CC1)C)C)C(=O)O[C@@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)CO)C)C	NuBBE_115
O=C1[C@@]2([C@]34O[C@H]3C(=O)O[C@@H](c3cocc3)[C@]4(CC[C@@H]2[C@]23[C@H](CC(=O)OC2)OC([C@H]3C1)(C)C)C)C	NuBBE_1160
CC1(C)[C@H]2[C@@H]1CCC(=C)[C@H]1[C@H]2[C@H](C)CC1	NuBBE_1161
OC[C@H]([C@@H](CO)Cc1ccc(OC)c(OC)c1)Cc1cc(OC)c(OC)cc1	NuBBE_1162
C[C@@]12[C@@H]3[C@]4(C)[C@H](OC(=O)C[C@@H]4[C@](C(=O)[C@@H]4COC(=O)C4)(C)C[C@H]3OC(=O)C)C[C@H]1[C@@H](C[C@H](OC(=O)C)C2=O)C	NuBBE_1163
O(C)c1c2c(nc3c1cco3)cc(c(c2)OC[C@H](C(C)(C)O)O)OC	NuBBE_1164
CC(=CCc1c(OC)c2c(n(C)c1=O)cccc2)C	NuBBE_1165
O[C@H]1[C@@H]([C@H](O[C@@H](Oc2cc(O)c3c(O[C@H](c4cc(O)c(cc4)OC)CC3=O)c2)[C@@H]1O)CO[C@@H]1O[C@@H](C)[C@H](O)[C@@H](O)[C@H]1O)O	NuBBE_1166
O[C@H]1[C@@H]([C@H](O[C@@H]([C@@H]1O)O[C@@]1(O[C@@H]([C@H]([C@@H]1O)O)CO)CO)CO)O	NuBBE_1167
Oc1ccc(cc1)/C=C/C(=O)NCCc1ccc(cc1)O	NuBBE_1168
Oc1cc(ccc1OC)/C=C/C(=O)NCCc1ccc(cc1)O	NuBBE_1169
O=C(C1=CO[C@H]([C@H]2[C@@H]1[C@@H](C[C@@]2(O)C)O)O[C@@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)CO)OC	NuBBE_116
Oc1c(c2c(c(c1[C@@H]1[C@H](O)[C@@H](O)[C@H](CO1)O)O)c(=O)cc(o2)c1cc(O)c(cc1)O)[C@@H]1O[C@H](CO)[C@H]([C@@H]([C@H]1O)O)O	NuBBE_1170
O=c1n(C)ccc(OC)c1C#N	NuBBE_1171
O=c1oc2c3c4c1cc(O)c(O)c4oc(=O)c3cc(c2O)O	NuBBE_1172
