zinc_id,gene_name,gene_name,affinity
ZINC000013809222,DRTS_PLAFK,DRTS_PLAFK,8.59
ZINC000013809223,DRTS_PLAFK,DRTS_PLAFK,8.59
ZINC000013476289,DRTS_PLAFK,DRTS_PLAFK,8.54
ZINC000013476290,DRTS_PLAFK,DRTS_PLAFK,8.54
ZINC000034801984,DRTS_PLAFK,DRTS_PLAFK,8.51
ZINC000013532930,DRTS_PLAFK,DRTS_PLAFK,8.47
ZINC000013532934,DRTS_PLAFK,DRTS_PLAFK,8.46
ZINC000013559298,DRTS_PLAFK,DRTS_PLAFK,8.46
ZINC000013559299,DRTS_PLAFK,DRTS_PLAFK,8.46
ZINC000001722911,DRTS_PLAFK,DRTS_PLAFK,8.44
ZINC000004983774,DRTS_PLAFK,DRTS_PLAFK,8.44
ZINC000013472737,DRTS_PLAFK,DRTS_PLAFK,8.43
ZINC000013809210,DRTS_PLAFK,DRTS_PLAFK,8.43
ZINC000013809212,DRTS_PLAFK,DRTS_PLAFK,8.43
ZINC000002034278,DRTS_PLAFK,DRTS_PLAFK,8.39
ZINC000002034279,DRTS_PLAFK,DRTS_PLAFK,8.39
ZINC000013472733,DRTS_PLAFK,DRTS_PLAFK,8.38
ZINC000013488367,DRTS_PLAFK,DRTS_PLAFK,8.38
ZINC000013488368,DRTS_PLAFK,DRTS_PLAFK,8.38
ZINC000013532925,DRTS_PLAFK,DRTS_PLAFK,8.37
ZINC000001748451,DRTS_PLAFK,DRTS_PLAFK,8.35
ZINC000017039796,DRTS_PLAFK,DRTS_PLAFK,8.35
ZINC000013559304,DRTS_PLAFK,DRTS_PLAFK,8.34
ZINC000013559305,DRTS_PLAFK,DRTS_PLAFK,8.34
ZINC000013809206,DRTS_PLAFK,DRTS_PLAFK,8.34
ZINC000013809208,DRTS_PLAFK,DRTS_PLAFK,8.34
ZINC000017126763,DRTS_PLAFK,DRTS_PLAFK,8.34
ZINC000095600434,DRTS_PLAFK,DRTS_PLAFK,8.33
ZINC000013559293,DRTS_PLAFK,DRTS_PLAFK,8.30
ZINC000013532877,DRTS_PLAFK,DRTS_PLAFK,8.28
ZINC000013476267,DRTS_PLAFK,DRTS_PLAFK,8.24
ZINC000013476268,DRTS_PLAFK,DRTS_PLAFK,8.24
ZINC000013809218,DRTS_PLAFK,DRTS_PLAFK,8.24
ZINC000013809220,DRTS_PLAFK,DRTS_PLAFK,8.24
ZINC000005974507,DRTS_PLAFK,DRTS_PLAFK,8.23
ZINC000013809229,DRTS_PLAFK,DRTS_PLAFK,8.23
ZINC000013809231,DRTS_PLAFK,DRTS_PLAFK,8.23
ZINC000013472727,DRTS_PLAFK,DRTS_PLAFK,8.20
ZINC000013532872,DRTS_PLAFK,DRTS_PLAFK,8.20
ZINC000005974561,DRTS_PLAFK,DRTS_PLAFK,8.19
ZINC000013532891,DRTS_PLAFK,DRTS_PLAFK,8.19
ZINC000013472720,DRTS_PLAFK,DRTS_PLAFK,8.15
ZINC000013532904,DRTS_PLAFK,DRTS_PLAFK,8.15
ZINC000013532881,DRTS_PLAFK,DRTS_PLAFK,8.14
ZINC000003076473,DRTS_PLAFK,DRTS_PLAFK,8.11
ZINC000003076474,DRTS_PLAFK,DRTS_PLAFK,8.11
ZINC000013472736,DRTS_PLAFK,DRTS_PLAFK,8.07
ZINC000013532846,DRTS_PLAFK,DRTS_PLAFK,8.07
ZINC000001749924,DRTS_PLAFK,DRTS_PLAFK,8.00
ZINC000006627681,DRTS_PLAFK,DRTS_PLAFK,8.00
ZINC000017040301,DRTS_PLAFK,DRTS_PLAFK,8.00
ZINC000013284968,DRTS_PLAFK,DRTS_PLAFK,7.96
ZINC000000024946,DRTS_PLAFK,DRTS_PLAFK,7.94
ZINC000013472738,DRTS_PLAFK,DRTS_PLAFK,7.92
ZINC000013809233,DRTS_PLAFK,DRTS_PLAFK,7.86
ZINC000013809235,DRTS_PLAFK,DRTS_PLAFK,7.86
ZINC000003157274,DRTS_PLAFK,DRTS_PLAFK,7.82
ZINC000005884512,DRTS_PLAFK,DRTS_PLAFK,7.81
ZINC000034801983,DRTS_PLAFK,DRTS_PLAFK,7.75
ZINC000016981849,DRTS_PLAFK,DRTS_PLAFK,7.70
ZINC000013476270,DRTS_PLAFK,DRTS_PLAFK,7.64
ZINC000013476271,DRTS_PLAFK,DRTS_PLAFK,7.64
ZINC000000380804,DRTS_PLAFK,DRTS_PLAFK,7.63
ZINC000013559300,DRTS_PLAFK,DRTS_PLAFK,7.59
ZINC000013559301,DRTS_PLAFK,DRTS_PLAFK,7.59
ZINC000013809225,DRTS_PLAFK,DRTS_PLAFK,7.52
ZINC000013809227,DRTS_PLAFK,DRTS_PLAFK,7.52
ZINC000013559302,DRTS_PLAFK,DRTS_PLAFK,7.44
ZINC000013559303,DRTS_PLAFK,DRTS_PLAFK,7.44
ZINC000013532920,DRTS_PLAFK,DRTS_PLAFK,7.42
ZINC000000040057,DRTS_PLAFK,DRTS_PLAFK,7.38
ZINC000013559291,DRTS_PLAFK,DRTS_PLAFK,7.23
ZINC000002034275,DRTS_PLAFK,DRTS_PLAFK,7.22
